"","Methods","Scenario","n","ACC","F1","MCC","SDACC","SDF1","SDMCC"
"1","RGCCA","Linear",100,0.717833333333333,0.365609505517233,0.320900576432865,0.07072079592617,0.0760010909080834,0.106846888667998
"2","SGCCA","Linear",100,0.717833333333333,0.365609505517233,0.320900576432865,0.07072079592617,0.0760010909080834,0.106846888667998
"3","RGCCA","Linear",200,0.800666666666667,0.452428064558626,0.416076172238875,0.0652165519879628,0.0907594979664985,0.106403017158196
"4","SGCCA","Linear",200,0.800666666666667,0.452428064558626,0.416076172238875,0.0652165519879628,0.0907594979664985,0.106403017158196
"5","RGCCA","Linear",400,0.879333333333333,0.553002279797945,0.509273145268947,0.0435593690352829,0.0925010603727554,0.103363204555892
"6","SGCCA","Linear",400,0.879333333333333,0.553002279797945,0.509273145268947,0.0435593690352829,0.0925010603727554,0.103363204555892
"7","RGCCA","Sin",100,0.597166666666667,0.242070997425632,0.142884609254465,0.0465447541771803,0.0743932966505698,0.131883460333318
"8","SGCCA","Sin",100,0.597166666666667,0.242070997425632,0.142884609254465,0.0465447541771803,0.0743932966505698,0.131883460333318
"9","RGCCA","Sin",200,0.610166666666667,NA,0.154404759764067,0.0574375667492459,0.084756518918804,0.15291849089912
"10","SGCCA","Sin",200,0.610166666666667,NA,0.154404759764067,0.0574375667492459,0.084756518918804,0.15291849089912
"11","RGCCA","Sin",400,0.600666666666667,NA,0.146153337238107,0.0626267513829087,0.0859477781957715,0.15814438455671
"12","SGCCA","Sin",400,0.600666666666667,NA,0.146153337238107,0.0626267513829087,0.0859477781957715,0.15814438455671
