,u2_1
0,-0.018054241407137107
1,0.01066390231313269
2,0.02019147928059084
3,-0.01646098709567889
4,-0.02105849781644198
5,-0.015568427320696375
6,-0.002761214356238402
7,-0.002503728223345849
8,0.01311437866298248
9,-0.024050727676631807
10,-0.024571531243068705
11,0.007858505208797464
12,0.00422218024574179
13,0.03400321903687264
14,-0.014029790668529007
15,-0.01948809458761503
16,-0.019453846798751832
17,-0.007432307569901901
18,-0.024554454294387896
19,-0.017816135322091982
20,-0.01812421250393199
21,0.028292925582013326
22,-0.00705194997196977
23,-0.017805760403678265
24,0.032923293950952594
25,-0.01227326017189596
26,0.026190882359333128
27,-0.0023983730576584285
28,-0.019190941077685802
29,0.0017917409528750998
30,-0.01692135397886084
31,-0.01359942292325042
32,-0.027098385773794073
33,-0.0034027277436924817
34,0.010621898169853539
35,0.0054723318799356525
36,-0.004265036765332512
37,-0.02295822780470225
38,0.005268446433819005
39,-0.012088666303027329
40,-0.021093547172007156
41,-0.011357182423632959
42,-0.01924692736206765
43,-0.011065692231286305
44,-0.015151801908513252
45,-0.019346452723027444
46,-0.012067546591112699
47,-0.004097192348672769
48,-0.012202461194677083
49,-0.01918490147479524
50,-0.020998822143389745
51,-0.0003480236340642775
52,0.000507903230505103
53,0.0037731046560480997
54,-0.0033262053930576897
55,-0.020831820895035574
56,-0.021279676525333416
57,-0.019786173772961695
58,-0.00992331526760463
59,0.010525113122358185
60,-0.018284610903642296
61,-0.017692600084217545
62,-0.020412051112822776
63,-0.017909595148529744
64,-0.023874101296809152
65,0.0
66,0.0431409601016075
67,-0.0025816786880110023
68,-0.01527384614332773
69,-0.01941353288430974
70,-0.015498200557123164
71,-0.015061468211311203
72,0.0054736939936631535
73,-0.025159268293705857
74,-0.022790253381527712
75,-0.0184272273870544
76,0.0
77,-0.024498599462550178
78,-0.012249621177833122
79,-0.011832366059482744
80,0.014258921805952365
81,-0.024679440555463582
82,-0.01539962633997141
83,-0.021987049503756094
84,-0.008744965440853784
85,-0.02007346560005486
86,-0.0072970198093774965
87,0.0
88,-0.011640449532124876
89,-0.02570130512414837
90,-0.019093698141488993
91,0.010788032278514378
92,0.029810348835038712
93,0.03203369430257309
94,0.014036438321369983
95,-0.0015296998358821597
96,-0.017480340612613342
97,-0.014160441412796956
98,-0.018603503537432155
99,-0.015417073236648728
100,-0.021585974720044903
101,4.657561626688919e-06
102,-0.012267573976644118
103,0.0028570472368309647
104,-0.008408458271105325
105,-0.023701047381128063
106,0.026492270026216642
107,-0.026280170771626667
108,-0.022365085101771695
109,0.001298119205979525
110,-0.024395646473743524
111,-0.012624468335654504
112,0.035060760099757934
113,-0.023262924476658432
114,-0.01179044195926648
115,-0.010831424087251048
116,0.015583816588353557
117,0.03402921513132826
118,0.0
119,0.0336405868492385
120,-0.00543981084874747
121,0.005133175107796824
122,-0.023366006597004288
123,-0.02619006734696747
124,-0.007710822235066699
125,0.004587567758596612
126,-0.02481046964676142
127,5.867228302404037e-06
128,-0.012048498399531617
129,0.01712453604954389
130,-0.026644283593327635
131,0.006247819730280492
132,-0.0062490198150195716
133,0.0218214802192149
134,-0.007213367599754493
135,-0.014861343580219268
136,0.036225773692060766
137,0.0
138,-0.020811895683907275
139,-0.005261461496580281
140,-0.0015352859700456317
141,0.0
142,0.027097306634605797
143,-0.023222896560203758
144,-0.01636397925611782
145,0.004704606382598609
146,0.017283204536070355
147,-0.022702379843513965
148,-0.024440673083694648
149,0.026721649267863863
150,-0.017458903744200425
151,-0.017635602571708296
152,-0.020059699810080413
153,-0.024342287175859786
154,-0.0071521115864136686
155,-0.021139776860218996
156,-0.02277498785574258
157,0.02374148796261891
158,-0.02402755321213226
159,-0.02098887588421609
160,-0.017104575741776314
161,0.01973422249768698
162,-0.007537063328712848
163,-0.004215868855764418
164,-0.022448229701444698
165,-0.021479945716227068
166,-0.011914110611734023
167,-0.02729541739592733
168,-0.020300876930472982
169,-0.016883416295817022
170,-0.004167264637365235
171,0.03048642576341015
172,0.0065437167790980445
173,-0.026029120837566887
174,-0.023506891126742983
175,-0.017907454612752092
176,-0.014452065723576211
177,0.0
178,0.002253196970541032
179,-0.01832566485727774
180,0.0
181,0.013829408080830474
