Name,Score
A2ML1|144568,5.927082961422202e-05
AADAC|13,4.4596975063816226e-05
AADAT|51166,4.171437506847654e-05
ABCA12|26154,3.100122357311976e-05
ABCA13|154664,1.6218944300557368e-05
ABCA6|23460,4.003610401396356e-05
ABCB5|340273,2.3881369301156232e-05
ABCC11|85320,7.699495937070881e-05
ABCC13|150000,2.7907262718953525e-05
ABCC6P2|730013,2.6480154524783933e-05
ABCC6|368,9.723850055716906e-05
ABCD2|225,7.598456213091511e-05
ACADL|33,5.836775876310937e-05
ACAP1|9744,7.529872149796807e-05
ACE2|59272,0.00010476149480957975
ACSL6|23305,1.545320786505997e-05
ACSM1|116285,3.7710692193165824e-06
ACTC1|70,4.744774193940164e-06
ACTG2|72,1.173078025965218e-05
ACVR1C|130399,2.074227890754128e-05
ADAM22|53616,4.1190607948745576e-05
ADAM29|11086,0.00011912570854126193
ADAM6|8755,1.2284259689729049e-05
ADAMTS15|170689,2.398109178354892e-05
ADAMTS16|170690,3.056096856663631e-05
ADAMTS18|170692,6.340723649888138e-05
ADCY2|108,8.060920243366324e-05
ADD2|119,9.552724037156583e-05
ADIPOQ|9370,3.005707348931104e-05
ADORA1|134,4.957808499939205e-05
ADRA2C|152,3.425167292712077e-05
ADRB1|153,1.315300776846739e-05
AGXT2L1|64850,5.761205917203016e-05
AIM1L|55057,5.237553598540272e-06
AIM2|9447,5.3492730058278996e-05
AKR1B15|441282,1.1569169688073582e-05
AKR1C1|1645,1.5348976584639182e-05
AKR1E2|83592,5.38397879321214e-05
AKR7A3|22977,4.047246763017176e-05
ALDH1A2|8854,6.930364556292276e-05
ALDH3B2|222,1.8032182455114544e-05
ALOX12P2|245,0.00011546221112393333
ALOX15B|247,1.4398523382215714e-05
ALX4|60529,1.467725412136953e-05
AMDHD1|144193,3.726510220068083e-06
AMY1A|276,5.110552840738604e-05
ANK1|286,4.344955899219089e-05
ANKRD1|27063,3.8629760015276034e-05
ANKRD30A|91074,7.828694884313525e-05
ANKRD30B|374860,0.00017895660219674508
ANKRD34B|340120,6.281644458083248e-05
ANKRD43|134548,2.6844762633573272e-05
ANO3|63982,3.413001736114087e-05
ANO5|203859,0.00010920963406799066
ANXA3|306,5.147218299707651e-05
ANXA8L2|244,7.461579552240391e-05
ANXA8|653145,8.784590051626382e-05
APBA2|321,0.00011034614476665857
APOBEC3B|9582,1.0559315350551829e-05
AQP4|361,5.868013545329168e-05
AQP5|362,7.693662909800097e-05
AQP6|363,8.927133763888115e-05
AQP7P1|375719,3.5122473608858633e-05
AQP7|364,2.480199736995006e-05
AQP9|366,5.027738920405718e-05
AQPEP|206338,6.057700743039822e-05
ARC|23237,3.923402073135792e-05
AREG|374,1.6752340328043075e-05
ARHGAP36|158763,8.223241766639964e-05
ARHGDIG|398,2.5438778235226305e-05
ARL9|132946,4.8566742647433616e-05
ARMC3|219681,1.4743442155256145e-05
ARSE|415,0.00013876736739156206
ASCL1|429,3.66881298357836e-05
ASRGL1|80150,8.257890818959785e-05
ASS1|445,2.613268067087543e-05
ASXL3|80816,3.4266826484693624e-05
ATP13A4|84239,9.391732606492176e-05
ATP13A5|344905,0.00011438191553893842
ATP1A3|478,5.52335123509903e-06
ATP2B2|491,7.62609162578666e-05
ATP6V0A4|50617,8.185829320023589e-07
ATP6V0D2|245972,4.7063192418036745e-05
ATP8A2|51761,9.158796814110127e-05
ATRNL1|26033,1.2941127308713339e-05
AZU1|566,4.8491314116724236e-05
B3GALT5|10317,4.91848372980537e-05
B3GAT1|27087,3.608657238335768e-05
B3GNT3|10331,7.893985532693672e-05
B3GNT4|79369,7.161376989659363e-05
B4GALNT2|124872,5.659884771653165e-05
BAALC|79870,4.809625837642194e-05
BAIAP2L2|80115,0.00014726101886631496
