,u1_0
0,2.2192181752700435e-05
1,3.9066792020037155e-05
2,-7.670171333629128e-06
3,5.2267293149554916e-05
4,5.4946442329395495e-05
5,7.845760914371169e-05
6,0.00012011954209611986
7,1.9759092326765426e-05
8,-1.4654893897514398e-05
9,2.1929039561996433e-05
10,4.84068002553073e-05
11,8.370808291857657e-06
12,0.00010807650435040728
13,5.0675301263680694e-05
14,4.923061585948574e-05
15,3.713919609005245e-05
16,2.7463300735774965e-06
17,-1.1336859001787047e-05
18,3.939855204215803e-05
19,7.225300095647924e-05
20,-4.736636181057463e-05
21,-5.5400328117016784e-05
22,-4.2466080056868805e-06
23,6.965904607447726e-05
24,2.4124824049565063e-05
25,3.871044004810642e-05
26,-7.158200975965201e-06
27,-2.777671822329353e-05
28,-0.00010372450049800364
29,-1.251269695501378e-05
30,-2.636282437151749e-05
31,7.828345064631037e-05
32,-1.1591158944668223e-05
33,-7.264840389709093e-06
34,5.831769871811332e-05
35,2.5606765991170732e-05
36,-7.742275940358923e-07
37,-6.716455709820934e-05
38,1.4047711575315702e-05
39,-1.957774649952171e-06
40,7.856171898090736e-05
41,0.0001598900855341867
42,1.5540128787350227e-05
43,5.3914241423314024e-05
44,1.4188689416272382e-05
45,7.362806721644688e-06
46,0.00010840668635125894
47,-7.723534725379011e-05
48,-3.378932174236127e-05
49,1.4020777550527441e-05
50,1.0143166431220152e-05
51,-9.678731505147198e-07
52,1.3892513699431674e-06
53,9.727393561398401e-05
54,0.0001724944964482944
55,-2.5571681016245407e-05
56,-2.1332143855801178e-05
57,1.151190958914583e-05
58,3.992769968341747e-05
59,2.0256795439266284e-05
60,0.00010215698182669541
61,2.5763277687218533e-05
62,9.69588313122216e-05
63,7.055653261467398e-05
64,0.0001655041848263039
65,8.584764213104279e-05
66,-2.376178663787698e-05
67,7.516804826224188e-05
68,-2.924197435127951e-05
69,2.3511246437735167e-05
70,0.00010163142476926623
71,2.1660301575465724e-05
72,-4.689287823111954e-05
73,-6.552938833337407e-06
74,-2.3205823074690102e-05
75,-1.3338568960463704e-05
76,-3.1319081198688536e-05
77,0.00013493767007943802
78,2.1934881354823688e-05
79,-5.3814877151836527e-05
80,-4.4606127103108406e-05
81,1.5127399001002573e-05
82,2.981555231507116e-05
83,-5.615739689091015e-05
84,-1.3136535056190723e-05
85,1.1282461599648741e-05
86,8.81569193822429e-05
87,-7.86007338966499e-05
88,1.6367942965445081e-06
89,9.254261659208396e-07
90,3.118095771270646e-05
91,3.468942122886176e-05
92,6.94275439094838e-05
93,-4.211699296163829e-05
94,-1.7191983218367568e-05
95,-8.089171922165406e-05
96,2.010944454511332e-06
97,-1.2991658326910738e-06
98,1.236677760907412e-05
99,-6.786449879214729e-05
100,0.00017207056123957898
101,-1.8717416159219624e-05
102,-1.4794881053603604e-07
103,-2.7111398669177333e-05
104,7.03441861844567e-05
105,4.584073039204384e-05
106,-2.5121877692768635e-05
107,-3.7729215325299492e-06
108,8.436239612663599e-06
109,-1.0575446863114735e-05
110,1.7433632615748706e-05
111,9.79062330586089e-05
112,1.7399254836902855e-07
113,1.6019563743085996e-05
114,-5.090044686362205e-05
115,7.981450332650297e-06
116,-5.95004617718331e-05
117,-9.510469003792821e-05
118,-8.169841758309815e-05
119,-1.57001308043192e-05
120,9.229379628550305e-05
121,1.769281809771428e-05
122,7.710661309978661e-05
123,-6.192605526855743e-05
124,2.299224651025611e-05
125,-9.552756008446295e-07
126,-1.3480480655303495e-05
127,3.759628727273423e-05
128,7.254065745776472e-05
129,1.3153519340391995e-06
130,3.698765818427319e-05
131,0.00022227429601251458
132,8.011508569438774e-06
133,4.053817516158631e-05
134,0.00021377590115356782
135,2.722103690011579e-05
136,7.955293776795713e-05
137,1.1328250836939446e-05
138,2.0464284666843469e-07
139,-6.902563708166554e-06
140,-3.995998374861642e-06
141,-8.798330064507809e-07
142,-2.9299739415122872e-05
143,4.107760364213675e-05
144,2.4273578530298323e-05
145,9.828758768648527e-06
146,2.9266498858149248e-05
147,-2.891268904647859e-05
148,5.2464808764085546e-05
149,5.536111485682227e-06
150,1.136300736703788e-05
151,6.124211500413423e-05
152,-9.282646962383012e-05
153,-0.0001124306867250624
154,4.769856031217046e-05
155,-1.3242773260202512e-05
156,1.4201071572017554e-05
157,-3.363854113480613e-05
158,-6.5185103590437166e-06
159,1.9827369738933953e-05
160,-1.0894449101073178e-05
161,6.206648867745912e-06
162,8.140840845882735e-06
163,2.1380562136741332e-05
164,-4.286844843548465e-06
165,3.1657276879926144e-05
166,6.445531050580655e-05
167,5.2868918940518483e-05
168,5.925434032327814e-05
169,4.340018674220403e-05
170,-2.2940656146275273e-05
171,2.1032118073804895e-06
172,6.363963560573893e-07
173,1.8841530238233872e-06
174,1.4540915831418033e-06
175,-5.253711012898066e-07
176,5.8637945995698715e-05
177,-2.8844199135846793e-06
178,-3.890498363467998e-05
179,-5.313855239030829e-05
180,4.526166084062311e-05
181,-7.317539026097108e-05
182,-8.83836046483566e-06
183,-4.328754988236483e-06
184,1.3454679841373718e-06
185,3.118889659781132e-05
186,3.354851412673554e-05
187,9.424832845716935e-05
188,-0.00016800441113673514
189,-3.535806370180694e-05
190,-4.118738672431732e-05
191,-2.7253528184445486e-05
192,-7.429993480734254e-05
193,-9.50521993203779e-06
194,2.9213519225024243e-05
195,-4.908308431694763e-06
196,-0.00012138965903396581
197,-0.00011444418739792184
198,6.747357682534982e-05
199,6.274750893986436e-05
200,-2.971440624577326e-05
201,5.445786449342904e-06
202,-4.0410327796891465e-05
203,2.7278539960207127e-07
204,5.782954461963641e-05
205,-1.7800812033286206e-05
206,1.8568182950318146e-05
207,5.358527624998999e-05
208,-1.1959325187049785e-05
209,-4.756201514943825e-05
210,3.789586166469405e-05
211,-0.00011046697172467645
212,-2.2895651111909388e-05
213,-3.197785725461699e-05
214,-1.6087641396822505e-05
215,-1.2523073245063188e-07
216,-5.337186257570181e-05
217,2.9926024449622446e-06
218,3.765003696365454e-05
219,-0.00010049756299324031
220,0.00010044764896655067
221,5.3288001938156526e-05
222,-3.05861771465743e-08
223,2.6761683123766034e-05
224,9.629811965439217e-05
225,2.0152252906413537e-05
226,-0.00011481748940234127
227,2.5592375367367026e-05
228,-5.1774873826460066e-05
229,7.850742610138184e-05
230,9.446938976687136e-05
231,-0.00014039320485892404
232,-7.565243375040609e-05
233,5.562189571151066e-07
234,3.035240345283796e-05
235,-1.2475435282155445e-05
236,-4.5204194698555966e-07
237,5.2324868827113846e-05
238,5.19254573418948e-05
239,-0.00010786290714648317
240,-8.452800772218438e-06
241,7.226176432340026e-05
242,0.0001399103858208406
243,1.063790115729546e-05
244,4.848924802480781e-05
245,5.5144736212042744e-05
246,1.6669386388556973e-05
247,3.031862972946442e-05
248,2.246734429611763e-05
249,-3.3022455934172967e-06
250,-1.9645775905630103e-05
251,-2.641827196114832e-06
252,-3.621794704322667e-05
253,0.00013741259546051765
254,-0.0001259489919984702
255,4.103128729937566e-05
256,-6.217867992575066e-05
257,0.00011337577872971849
258,-4.279329099077245e-06
259,4.697357084104681e-05
260,5.042267349431029e-05
261,6.241345284152544e-05
262,3.222905052169267e-06
263,8.361397592082653e-06
264,6.833059897104476e-05
265,8.586103507290943e-05
266,1.465297074254579e-05
267,-1.7981531865274292e-05
268,6.22846948594713e-05
269,4.651543132894176e-06
270,-5.507272859972545e-08
271,-2.0672004820809775e-05
272,3.5650873295267616e-05
273,-6.644803310251746e-06
274,-1.0681477400353856e-05
275,-2.9863164760612904e-05
276,0.00011754685409748333
277,6.192250608805239e-05
278,1.099447374031115e-06
279,-2.8420462054867812e-06
280,-5.741605948017536e-06
281,-2.597979184848498e-05
282,7.905177896994076e-05
283,-5.9063218547095175e-06
284,0.00023972744591027606
285,5.675725153864164e-06
286,9.68528117795131e-06
287,-4.575627142955341e-06
288,1.1605682889381796e-05
289,-7.953905878466117e-05
290,-2.952772982567353e-06
291,-5.7281471015357965e-05
292,-3.203546052255035e-05
293,0.0001277924632088201
294,2.025456367071854e-05
295,4.319165274324632e-07
296,-2.496378882099748e-05
297,9.060973442309717e-05
298,-6.33593906425034e-05
299,-0.00011624215285088724
300,-2.002046649529632e-05
301,-1.6130534302050137e-05
302,3.8182591415747424e-05
303,3.306623553989141e-05
304,4.8721216861835615e-05
305,-3.29105511926997e-05
306,-1.6966624762915217e-06
307,-6.34400056043205e-06
308,1.0557480900175165e-05
309,9.210756584110413e-07
310,-1.9565096861740017e-05
311,-5.73415388629428e-05
312,3.397077588118691e-05
313,5.579561122459609e-06
314,5.218269027018607e-05
315,2.2816914171386316e-06
316,7.127391270422834e-05
317,3.925899969381419e-05
318,7.645539752054731e-05
319,-4.633647117557871e-05
320,-1.967019445281437e-05
321,7.7003608076609e-06
322,9.814626795368042e-05
323,-8.315525783153532e-05
324,0.0001010379427270891
325,7.348101976489829e-05
326,-1.924859214774699e-05
327,-0.00010982813101101385
328,3.464208971415417e-05
329,-9.315585559832584e-06
330,2.4108930110955384e-05
331,3.961652613426736e-05
332,7.290951917937605e-05
333,-2.2961469420934577e-05
334,6.57156148591298e-05
335,-8.0851584217001e-05
336,4.1172231611597e-05
337,-1.6612268982640899e-06
338,5.63145968435208e-06
339,7.36173835118592e-05
340,3.434004601210461e-05
341,5.958979665265929e-06
342,7.552171229541216e-05
343,0.00010046006619646164
344,-2.1590737725674103e-05
345,1.5296035915213224e-05
346,3.403730045015152e-05
347,-3.6895341482434674e-05
348,4.089645878835313e-05
349,4.674730574194541e-06
350,1.0050767309977005e-05
351,8.263976360112224e-06
352,3.181290368914347e-06
353,2.6422256308222813e-05
354,-8.858882545403901e-05
355,4.3613631659056296e-05
356,-9.696961056704367e-05
357,0.00018371628253355254
358,4.063510771779022e-05
359,5.143502037441294e-05
360,-7.756067710040782e-05
361,6.886420873186694e-05
362,-8.712299040425364e-06
363,3.302409865568734e-07
364,-0.00013779281675319055
365,-1.917330858702826e-05
366,6.930729895593402e-05
367,5.622655088011186e-05
368,0.0001465947955203717
369,4.456387917706195e-05
370,-2.3129533943233582e-05
371,-1.4546363507506044e-05
372,7.525823468057524e-05
373,6.0521150588854766e-05
374,1.6773250825607988e-05
375,2.0971078606990545e-05
376,5.7850002361803377e-05
377,-9.545900088170356e-07
378,0.00010757529334526339
379,5.331464552504883e-05
380,4.8928941458470376e-05
381,4.34363126515791e-05
382,1.1446208761256571e-05
383,-1.3190987123934406e-05
384,5.521936442853814e-05
385,-8.007812670740577e-07
386,-4.795216774766686e-07
387,-6.560775908326377e-06
388,2.9160196277189243e-05
389,4.1616854035808615e-05
390,5.07385591514975e-05
