,0
0,-4.150203327348865e-15
1,5.901081960132457e-16
2,6.052717356832403e-16
3,8.340175107743599e-16
4,8.638122994401368e-16
5,1.3363798988339913e-15
6,1.373704144096364e-15
7,2.0840625210514574e-15
8,2.1941346994794484e-15
9,2.3307416471961724e-15
10,2.6852770708922785e-15
11,2.7187904767221236e-15
12,3.0197570863988493e-15
13,3.0880009937883202e-15
14,3.0894423329733946e-15
15,3.518886102747403e-15
16,3.660179837116662e-15
17,4.1484284745886995e-15
18,4.284365739169632e-15
19,4.367549242968304e-15
20,4.54478451653201e-15
21,4.832366390943714e-15
22,5.001934508574432e-15
23,5.172369881289988e-15
24,5.223127280378308e-15
25,5.470044758079781e-15
26,5.559660180287426e-15
27,6.662814738464278e-15
28,6.678455803618235e-15
29,6.728538734178763e-15
30,8.692881747875889e-15
31,8.924564913092545e-15
32,8.982209224965658e-15
33,9.371106947583031e-15
34,1.0115488520074074e-14
35,1.0119011206345201e-14
36,1.0415594433398915e-14
37,1.0885992254034355e-14
38,1.1098795056124029e-14
39,1.1649844466016099e-14
40,1.1733437508043736e-14
41,1.180658435991255e-14
42,1.1832998790540698e-14
43,1.2599053927214314e-14
44,1.3099217152777284e-14
45,1.3517863946135454e-14
46,1.3603665546017131e-14
47,1.3797644381097864e-14
48,1.3886209377879637e-14
49,1.3925929114101889e-14
50,1.4122752751016236e-14
51,1.4146897853579401e-14
52,1.4189881100509863e-14
53,1.4248431198005357e-14
54,1.431937446984232e-14
55,1.4504761210263856e-14
56,1.457811418122673e-14
57,1.469207714109676e-14
58,1.481354347476385e-14
59,1.4878250002969473e-14
60,1.488928174535187e-14
61,1.501761917690721e-14
62,1.5295484949266507e-14
63,1.5608067132875438e-14
64,1.5730936325833006e-14
65,1.5953185911957363e-14
66,1.6174030448462577e-14
67,1.6192893224517934e-14
68,1.6522183154641672e-14
69,1.6759355006547058e-14
70,1.695989227642213e-14
71,1.7469819301575647e-14
72,1.7544293886688118e-14
73,1.8543580440442164e-14
74,1.8973033804449097e-14
75,1.8973692101187818e-14
76,1.9028736206550628e-14
77,1.9074284424366196e-14
78,1.9166202123337542e-14
79,1.9202250202207004e-14
80,1.943151314002429e-14
81,1.974268071061085e-14
82,1.9779210880583314e-14
83,1.9948289818500355e-14
84,2.0209343970540483e-14
85,2.038085014241892e-14
86,2.068592961653649e-14
87,2.0759178539833327e-14
88,2.0770526898983726e-14
89,2.16764818367052e-14
90,2.1963657653220318e-14
91,2.205528353208435e-14
92,2.2166485011304156e-14
93,2.227256765165572e-14
94,2.242550797350087e-14
95,2.3862542557128185e-14
96,2.3960360200517642e-14
97,2.403304423484056e-14
98,2.4098555104690552e-14
99,2.4206503653363768e-14
100,2.4404082566276148e-14
101,2.4476077664135278e-14
102,2.4730999184118708e-14
103,2.48163446146929e-14
104,2.5264910016846924e-14
105,2.5451272140701748e-14
106,2.5474593022815515e-14
107,2.5862409008236706e-14
108,2.594313936519053e-14
109,2.614554302318216e-14
110,2.6251650284928388e-14
111,2.637023159068185e-14
112,2.676141741078547e-14
113,2.6950439464042462e-14
114,2.6958159762621968e-14
115,2.7047114975900682e-14
116,2.717929231618877e-14
117,2.7249211079235064e-14
118,2.7361601991290374e-14
119,2.7918603963384637e-14
120,2.7954236133512914e-14
121,2.8529911441215726e-14
122,2.866123568073673e-14
123,2.868647927352252e-14
124,2.8999069825482163e-14
125,2.90568922917415e-14
126,2.908735360368543e-14
127,2.9136165684550376e-14
128,2.9361061815274517e-14
129,2.936456447602909e-14
130,2.937466924148159e-14
131,2.937545990653489e-14
132,2.941247793880876e-14
133,2.941520386627426e-14
134,2.943930071537662e-14
135,2.9704973984566564e-14
136,2.974903576610687e-14
137,2.980816906743888e-14
138,3.0289959688384535e-14
139,3.031298162268213e-14
140,3.038573152544419e-14
141,3.0445382973468926e-14
142,3.0471118972722625e-14
143,3.0499247414887824e-14
144,3.0880749125361586e-14
145,3.1028604523097106e-14
146,3.112774199273209e-14
147,3.117804690044881e-14
148,3.133966166924417e-14
149,3.169185907309274e-14
150,3.2027616864114755e-14
151,3.213523978510844e-14
152,3.2148164699033083e-14
153,3.215297607524081e-14
154,3.2234923289347543e-14
155,3.228310861034719e-14
156,3.228512168666509e-14
157,3.23448890934908e-14
158,3.240522733164843e-14
159,3.242991098341961e-14
160,3.2485326408744496e-14
161,3.258726250075698e-14
162,3.2732689193840175e-14
163,3.2904114612234685e-14
164,3.295544511887067e-14
165,3.303898619946984e-14
166,3.3156744690590395e-14
167,3.3157370208973616e-14
168,3.3287804066338526e-14
169,3.333324406238038e-14
170,3.3400126316184486e-14
171,3.3551710826165116e-14
172,3.3690567703694755e-14
173,3.374837407914408e-14
174,3.383154040579333e-14
175,3.396382415875616e-14
176,3.398183058023621e-14
177,3.416396630871544e-14
178,3.417047851135121e-14
179,3.4182872317867974e-14
180,3.430179172318011e-14
181,3.448957775901816e-14
182,3.458913431524407e-14
183,3.4608244570316266e-14
184,3.4974785350224074e-14
185,3.536660295040384e-14
