,V1
V1_1,-0.003498922
V1_2,0.038409081
V1_3,-0.043445142
V1_4,-0.005387827
V1_5,-0.029175154
V1_6,0.043470425
V1_7,0.014468737
V1_8,0.01225332
V1_9,-0.029770188
V1_10,0.002163175
V1_11,0.016816112
V1_12,0.018121475
V1_13,0.01681516
V1_14,0.006005398
V1_15,0.029479442
V1_16,0.001053358
V1_17,0.016857957
V1_18,-0.011703868
V1_19,0.010262788
V1_20,0.017181843
V1_21,0.037963594
V1_22,-0.015816519
V1_23,0.012155507
V1_24,0.010146136
V1_25,0.038862282
V1_26,0.001604529
V1_27,-0.01317132
V1_28,-0.00846638
V1_29,-0.024892799
V1_30,0.008493997
V1_31,-0.036541107
V1_32,0.010727545
V1_33,0.030324077
V1_34,-0.016180419
V1_35,0.027916468
V1_36,0.000633943
V1_37,0.001834096
V1_38,-0.007300688
V1_39,-0.027781222
V1_40,-0.0156638
V1_41,0.002299482
V1_42,-0.018897087
V1_43,0.015973076
V1_44,0.014893527
V1_45,0.007059814
V1_46,-0.009680258
V1_47,0.027112288
V1_48,-0.020718262
V1_49,-0.029236385
V1_50,0.035379607
V1_51,0.020161679
V1_52,0.011045676
V1_53,0.011672987
V1_54,0.009289261
V1_55,0.035834269
V1_56,0.027105659
V1_57,-0.004027956
V1_58,0.020871213
V1_59,-0.00340473
V1_60,-0.0247534
V1_61,0.008808174
V1_62,0.013219355
V1_63,0.006971118
V1_64,0.012762679
V1_65,-0.005942463
V1_66,0.032007186
V1_67,0.008793244
V1_68,0.000808537
V1_69,0.04050877
V1_70,0.009647694
V1_71,0.044093726
V1_72,0.047838681
V1_73,0.031052768
V1_74,0.008607177
V1_75,0.008738609
V1_76,-0.01700623
V1_77,-0.03193429
V1_78,0.019909217
V1_79,-0.005589509
V1_80,-0.020811601
V1_81,-0.007151766
V1_82,-0.004365746
V1_83,0.000966578
V1_84,-0.030025794
V1_85,0.030927504
V1_86,0.009237025
V1_87,0.012166017
V1_88,-0.001360079
V1_89,-0.006511167
V1_90,0.006736353
V1_91,-0.004209237
V1_92,-0.009183124
V1_93,0.00802992
V1_94,0.002535758
V1_95,0.011815256
V1_96,-0.002333526
V1_97,0.013347756
V1_98,0.017394777
V1_99,0.003599427
V1_100,-0.010199501
V1_101,0.023753848
V1_102,-0.039101843
V1_103,0.015270241
V1_104,-0.013934022
V1_105,0.00295839
V1_106,-0.006206307
V1_107,0.010774566
V1_108,-0.013981554
V1_109,0.033931457
V1_110,0.027263485
V1_111,-0.013459273
V1_112,0.025965513
V1_113,0.012076107
V1_114,0.001505466
V1_115,0.007189366
V1_116,0.002954513
V1_117,-0.01307066
V1_118,-0.015999039
V1_119,-0.015656491
V1_120,0.042417988
V1_121,0.012753405
V1_122,-0.001144638
V1_123,-0.029199765
V1_124,-0.013900473
V1_125,-0.010241035
V1_126,0.008191578
V1_127,-0.026647913
V1_128,-0.019513572
V1_129,0.003508041
V1_130,0.010240011
V1_131,0.014457587
V1_132,-0.00211889
V1_133,-0.013899206
V1_134,-0.021740689
V1_135,-0.009613406
V1_136,0.003974088
V1_137,0.013938202
V1_138,-0.026854488
V1_139,0.001967844
V1_140,0.004022171
V1_141,0.010356406
V1_142,0.009617804
V1_143,-0.011039947
V1_144,0.026463529
V1_145,-0.035540193
V1_146,0.01363206
V1_147,0.012819244
V1_148,0.003957775
V1_149,-0.044126524
V1_150,0.006091355
V1_151,0.005015557
V1_152,0.041053845
V1_153,0.011662398
V1_154,-0.009748314
V1_155,0.007144795
V1_156,-0.006552593
V1_157,0.028610488
V1_158,-0.012905922
V1_159,-0.027273172
V1_160,0.002186484
V1_161,0.006690642
V1_162,0.005188703
V1_163,-0.026953568
V1_164,-0.014336591
V1_165,-0.002643156
V1_166,-0.022240194
V1_167,0.028052666
V1_168,-0.005724959
V1_169,0.026120509
V1_170,-0.01555072
V1_171,-0.016678304
V1_172,0.002847214
V1_173,0.005917546
V1_174,0.010535749
V1_175,0.016699083
V1_176,0.022155747
V1_177,0.015583841
V1_178,-7.26E-05
V1_179,-0.025975414
V1_180,-0.02406976
V1_181,-0.027357114
V1_182,-0.006611907
V1_183,0.006638399
V1_184,-0.003200825
V1_185,0.006411757
V1_186,0.036234194
V1_187,-0.034258167
V1_188,0.0291132
V1_189,-0.010449359
V1_190,-0.014407053
V1_191,-0.022739478
V1_192,-0.011051184
V1_193,-0.025191195
V1_194,0.001630485
V1_195,0.036414091
V1_196,0.006828071
V1_197,-0.042183037
V1_198,-0.030366142
V1_199,-0.024068046
V1_200,0.010050415
V1_201,-0.010650596
V1_202,0.005853787
V1_203,0.008362905
V1_204,-0.008612781
V1_205,-0.001734058
V1_206,-0.016860339
V1_207,-0.007685093
V1_208,0.020849935
V1_209,-0.012745282
V1_210,-0.005146537
V1_211,0.010922715
V1_212,0.027191954
V1_213,0.013716259
V1_214,-0.011772466
V1_215,0.024632038
V1_216,0.014370242
V1_217,-0.035518855
V1_218,0.006404102
V1_219,-0.008651935
V1_220,-0.024091095
V1_221,0.021947501
V1_222,0.033449964
V1_223,-0.005123148
V1_224,0.036633112
V1_225,-0.002781127
V1_226,0.019189466
V1_227,-0.023749259
V1_228,0.026621214
V1_229,-0.010021888
V1_230,0.01265346
V1_231,0.013257156
V1_232,-0.016046632
V1_233,-0.021091517
V1_234,0.010262662
V1_235,0.018090936
V1_236,-0.008124856
V1_237,0.004624413
V1_238,0.007702399
V1_239,0.023558381
V1_240,-0.012953636
V1_241,-0.005855468
V1_242,0.025196633
V1_243,0.014662102
V1_244,-0.001995631
V1_245,0.009001
V1_246,0.035150766
V1_247,0.018161712
V1_248,0.033038016
V1_249,-0.019063669
V1_250,0.003489278
V1_251,-0.034957514
V1_252,0.002991677
V1_253,-0.034742863
V1_254,0.034323268
V1_255,-0.035841221
V1_256,-0.010380736
V1_257,-0.018675055
V1_258,0.020760069
V1_259,-0.001762812
V1_260,0.033024234
V1_261,0.026110372
V1_262,-0.005512431
V1_263,0.008234943
V1_264,0.005352965
V1_265,-0.024266167
V1_266,0.036576052
V1_267,0.023857312
V1_268,0.009339578
V1_269,0.023746065
V1_270,0.037469506
V1_271,-0.00633936
V1_272,-0.015777904
V1_273,0.021033955
V1_274,0.001168047
V1_275,-0.000881703
V1_276,0.017227253
V1_277,-0.000412295
V1_278,-0.00237585
V1_279,0.008690808
V1_280,0.015276129
V1_281,0.008892481
V1_282,0.006168512
V1_283,-0.021631382
V1_284,0.01938126
V1_285,-0.008339871
V1_286,0.021098975
V1_287,0.014305889
V1_288,-0.02182409
V1_289,-0.00316513
V1_290,-0.018730158
V1_291,0.028770849
V1_292,-0.018700222
V1_293,0.012291381
V1_294,0.035380676
V1_295,-0.011310359
V1_296,0.001499825
V1_297,-0.007072766
V1_298,0.029397809
V1_299,-0.028258308
V1_300,-0.023741618
V1_301,-0.011491014
V1_302,-0.026512096
V1_303,0.01096611
V1_304,-0.018814198
V1_305,0.030090093
V1_306,-0.021336292
V1_307,0.020314474
V1_308,-0.002822409
V1_309,0.000266104
V1_310,0.021066704
V1_311,-0.024547368
V1_312,-0.017058999
V1_313,-0.03135961
V1_314,-0.022665619
V1_315,0.046234175
V1_316,0.011577064
V1_317,0.008636928
V1_318,0.012802288
V1_319,0.010908872
V1_320,-0.023502674
V1_321,-0.030971569
V1_322,0.017237484
V1_323,0.020163674
V1_324,-0.021005083
V1_325,0.009468926
V1_326,-0.006758656
V1_327,0.011420593
V1_328,0.001058181
V1_329,0.034848694
V1_330,0.021948216
V1_331,0.013879688
V1_332,0.031778669
V1_333,0.04771536
V1_334,0.019925171
V1_335,0.005666799
V1_336,-0.007737654
V1_337,0.003707359
V1_338,0.006849134
V1_339,-0.027579253
V1_340,0.023030249
V1_341,-0.017417886
V1_342,0.038078041
V1_343,0.027879226
V1_344,0.024552694
V1_345,0.020920799
V1_346,-0.00105559
V1_347,0.015782709
V1_348,0.039444569
V1_349,0.012106404
V1_350,0.021718101
V1_351,0.029723158
V1_352,0.001808353
V1_353,0.018484053
V1_354,0.001694929
V1_355,-0.019097985
V1_356,0.007631071
V1_357,0.008890576
V1_358,0.012381352
V1_359,-0.019401691
V1_360,0.012742898
V1_361,0.015822987
V1_362,-0.029364321
V1_363,-0.002444356
V1_364,0.034960192
V1_365,-0.018440961
V1_366,0.042146957
V1_367,0.026171673
V1_368,-0.017284541
V1_369,0.022189444
V1_370,0.040845859
V1_371,0.014305372
V1_372,-0.019336204
V1_373,0.02001679
V1_374,0.019517097
V1_375,0.006948003
V1_376,0.016616767
V1_377,0.006407814
V1_378,0.014239426
V1_379,0.031516291
V1_380,-0.024223654
V1_381,-0.036715754
V1_382,-0.009229338
V1_383,0.008399981
V1_384,-0.026691621
V1_385,0.001473319
V1_386,0.006740405
V1_387,0.005405475
V1_388,0.020297971
V1_389,0.020888137
V1_390,0.025775536
V1_391,0.023576729
V1_392,0.032724077
V1_393,0.025855165
V1_394,-0.024875994
V1_395,0.015179044
V1_396,0.030998092
V1_397,0.03388348
V1_398,0.016550153
V1_399,-0.035036783
V1_400,-0.006574201
V1_401,-0.030949378
V1_402,0.018939349
V1_403,-0.017903441
V1_404,-0.033239048
V1_405,-0.010627393
V1_406,-0.030353142
V1_407,-0.003463559
V1_408,0.001756739
V1_409,-0.02563888
V1_410,-0.027647718
V1_411,-0.019198333
V1_412,-0.001268433
V1_413,0.015880772
V1_414,-0.019817369
V1_415,-0.009218195
V1_416,-0.020196824
V1_417,-0.020075076
V1_418,-0.020771629
V1_419,-0.013818547
V1_420,0.006634739
V1_421,-0.022990199
V1_422,-0.01021131
V1_423,-0.014449911
V1_424,-0.00115265
V1_425,-0.007111537
V1_426,-0.002494851
V1_427,-0.026365269
V1_428,-0.016285091
V1_429,-0.02297755
V1_430,-0.023296469
V1_431,0.011165104
V1_432,0.00662568
V1_433,-0.031905088
V1_434,-0.022934746
V1_435,-0.022395459
V1_436,-0.020191546
V1_437,-0.017815827
V1_438,-0.021800114
V1_439,-0.018202962
V1_440,-0.023106508
V1_441,-0.029759535
V1_442,-0.02494403
V1_443,-0.023466296
V1_444,0.019988379
V1_445,-0.042434217
V1_446,-0.028688833
V1_447,0.008485139
V1_448,-0.004175813
V1_449,-0.029234784
V1_450,0.007888347
V1_451,-0.019734147
V1_452,0.019086986
V1_453,0.015161811
V1_454,-0.009911913
V1_455,0.004128071
V1_456,0.01261915
V1_457,0.001033607
V1_458,0.011817905
V1_459,0.022306132
V1_460,0.018104536
V1_461,0.003020189
V1_462,-0.000582964
V1_463,-0.022245044
V1_464,0.002016876
V1_465,-0.025432362
V1_466,-0.001377255
V1_467,-0.002134892
V1_468,-0.009626297
V1_469,-0.014271545
V1_470,0.011683701
V1_471,-0.00733487
V1_472,0.005956576
V1_473,0.006409888
V1_474,0.023570522
V1_475,0.020371083
V1_476,-0.013972123
V1_477,0.010064598
V1_478,0.034915001
V1_479,-0.014305638
V1_480,-0.007705286
V1_481,-0.002508604
V1_482,-0.033233944
V1_483,-0.018259859
V1_484,-0.007264069
V1_485,0.011167031
V1_486,-0.038168212
V1_487,-0.003889484
V1_488,-0.022807676
V1_489,0.037522051
V1_490,-0.02510088
V1_491,-0.026983352
V1_492,0.003824041
V1_493,0.01021063
V1_494,-0.032578383
V1_495,0.018491453
V1_496,0.005911672
V1_497,0.005197142
V1_498,-0.033821806
V1_499,-0.012206948
V1_500,0.025342714
V1_501,-0.011355799
V1_502,0.014888304
V1_503,0.010056534
V1_504,0.010177177
V1_505,0.023955305
V1_506,0.02030111
V1_507,-0.00065128
V1_508,-0.004396491
V1_509,-0.006053084
V1_510,-0.007314645
V1_511,0.002987784
V1_512,-0.000616249
V1_513,-0.013683893
V1_514,-0.013495644
V1_515,0.011195312
V1_516,-0.009804814
V1_517,-0.011449074
V1_518,-0.027640038
