"","V1"
"V2_1",0.0104088487902144
"V2_2",-0.017841499944451
"V2_3",-0.00847098865809251
"V2_4",0.00278350626867969
"V2_5",0.00280387069938647
"V2_6",-0.0190176815399372
"V2_7",0.00553842242772222
"V2_8",-0.0140766149283047
"V2_9",-0.0138013869356953
"V2_10",-0.00797945796250612
"V2_11",0.00179281205508817
"V2_12",-0.0181482269059572
"V2_13",-0.0193108408041618
"V2_14",-0.0305340148687917
"V2_15",-0.0207258398027849
"V2_16",-0.00198931340871284
"V2_17",-0.00393909022415784
"V2_18",0.0223425226999917
"V2_19",-0.0112626208816417
"V2_20",1.43143845178871e-05
"V2_21",0.00160737426269484
"V2_22",-0.0161402170740476
"V2_23",0.00297493972731466
"V2_24",0.0113713243361951
"V2_25",-0.0340568482053996
"V2_26",0.00940157819242753
"V2_27",-0.0251707055069105
"V2_28",-0.00922202242358719
"V2_29",-0.018276266854062
"V2_30",-0.00520573982391949
"V2_31",0.00237467523897948
"V2_32",0.0256858919140435
"V2_33",-0.0103799224010654
"V2_34",-0.00245181804574173
"V2_35",-0.027099812226665
"V2_36",-0.0200333141939554
"V2_37",-0.0161125898586227
"V2_38",-0.0323012852739031
"V2_39",-0.026907357023101
"V2_40",-0.0191893142007467
"V2_41",-0.0431212829442765
"V2_42",-0.0299361653175676
"V2_43",0.0121837218979815
"V2_44",-0.000792888352493434
"V2_45",-0.0055046355683814
"V2_46",-0.0380467730058991
"V2_47",-0.0116551971876104
"V2_48",-0.0343412705571535
"V2_49",0.0037996286215415
"V2_50",-0.016531642469227
"V2_51",-0.0249149063625634
"V2_52",-0.00371032385343239
"V2_53",-0.0112018551970834
"V2_54",-0.0251135943346801
"V2_55",0.0127030063772841
"V2_56",-0.00845762653569478
"V2_57",-0.0170288642349417
"V2_58",-0.00519230423939392
"V2_59",-0.0271417768190025
"V2_60",-0.0154228390939051
"V2_61",-0.00746860495285314
"V2_62",-0.0168812788085582
"V2_63",0.00109012974307438
"V2_64",-0.00420465253160686
"V2_65",-0.0072312603160777
"V2_66",-0.000170786554565939
"V2_67",-0.0252448990133349
"V2_68",-0.026941470258455
"V2_69",0.00439045081834728
"V2_70",-0.00544226928190199
"V2_71",-0.00712400051654565
"V2_72",-0.0197859332570017
"V2_73",-0.0163049012141283
"V2_74",-0.00728146317018144
"V2_75",-0.0156033114114086
"V2_76",-0.00902432924331529
"V2_77",0.00433010549803019
"V2_78",0.000218726811557969
"V2_79",-0.00870404224384094
"V2_80",0.0127725747742046
"V2_81",-0.0110957826537979
"V2_82",-0.0186554698678041
"V2_83",0.00445220684650674
"V2_84",-0.0174400071722025
"V2_85",-0.00591411656642721
"V2_86",0.0109889622426308
"V2_87",0.00665916414053161
"V2_88",0.00203349739580332
"V2_89",-0.00906035256408352
"V2_90",-0.0204705043997186
"V2_91",-0.0143375321482573
"V2_92",-0.022861721094479
"V2_93",-0.0296921190713062
"V2_94",-0.0134168803319864
"V2_95",-0.0178710705176109
"V2_96",-0.0138196336578895
"V2_97",-0.0296426194955295
"V2_98",-0.0112011993157216
"V2_99",-0.0197438637132933
"V2_100",-0.0153780950323695
"V2_101",-0.0340497070154121
"V2_102",0.0212712117673627
"V2_103",0.00991915962116886
"V2_104",-0.0222828301457857
"V2_105",-0.000825563802800035
"V2_106",0.00247548279313124
"V2_107",-0.0309413003114806
"V2_108",-0.00684372391098932
"V2_109",-0.0406007946086087
"V2_110",-0.0436627675416855
"V2_111",-0.0216974232694609
"V2_112",-0.0134512182962822
"V2_113",-0.0129817844184655
"V2_114",-0.0037723566449299
"V2_115",0.0152557314679167
"V2_116",-0.0150724615643668
"V2_117",-0.0227747059251522
"V2_118",-0.0190905413001839
"V2_119",0.00755816004301404
"V2_120",-0.0322656675923041
"V2_121",0.000723046690675744
"V2_122",-0.0200216064126832
"V2_123",-0.0414067987242829
"V2_124",-0.016623567225158
"V2_125",-0.020794578046159
"V2_126",-0.00834098740591
"V2_127",0.00209061112518985
"V2_128",0.0028270093290636
"V2_129",-0.00345603596018287
"V2_130",-0.0281927644819001
"V2_131",-0.0111245385156268
"V2_132",-0.027971381701103
"V2_133",-0.0227185612281643
"V2_134",-0.0229323292951645
"V2_135",0.0259968874754601
"V2_136",0.00147363354884653
"V2_137",-0.0311476651178089
"V2_138",0.0201973607647272
"V2_139",0.010515750000614
"V2_140",0.00341673713683165
"V2_141",0.0252212115645383
"V2_142",0.0354681170045198
"V2_143",-0.030427210901332
"V2_144",-0.00872752639182833
"V2_145",-0.0228617967729457
"V2_146",-0.0363882415956858
"V2_147",-0.012664022091019
"V2_148",-0.00788329248952151
"V2_149",-0.0125852366614131
"V2_150",-0.00858269620289167
"V2_151",-0.016440664609
"V2_152",-0.0175672792284102
"V2_153",-0.00435434502261661
"V2_154",-0.0222561246681405
"V2_155",-0.014557026555509
"V2_156",-0.000528192186618401
"V2_157",-0.0155956218100131
"V2_158",-0.0278635267223694
"V2_159",-0.00192013133440869
"V2_160",-0.0297474086750617
"V2_161",-0.0120075324924349
"V2_162",-0.0110907390523283
"V2_163",-0.00857598835717283
"V2_164",0.00132445311620558
"V2_165",0.00233578226649751
"V2_166",-0.0280624883986584
"V2_167",-0.0260401895400854
"V2_168",-0.0125502393019874
"V2_169",0.0103591787163543
"V2_170",-0.00852146628168023
"V2_171",0.0257763712815436
"V2_172",-0.00725859833449741
"V2_173",-0.0120735290861801
"V2_174",-0.0225315195967883
"V2_175",0.00202219137690244
"V2_176",-0.010086629789956
"V2_177",-0.00620930629080374
"V2_178",0.00324621241451479
"V2_179",-0.0106594497402026
"V2_180",-0.0010869729116964
"V2_181",-0.00154642392578673
"V2_182",-0.00806820075286556
"V2_183",-0.0145558387631506
"V2_184",0.00151526253649503
"V2_185",-0.0207549088615117
"V2_186",0.00779003831519832
"V2_187",-0.00854365286567443
"V2_188",-0.0182518212039175
"V2_189",-0.0294345941492912
"V2_190",-0.0115030025011306
"V2_191",-0.0217676664080089
"V2_192",-0.0136650441579307
"V2_193",-0.0253412515821755
"V2_194",0.00556565812544324
"V2_195",-0.00602010920976376
"V2_196",-0.0160475947244905
"V2_197",-0.0287506205163527
"V2_198",-0.000124821256602854
"V2_199",-0.0113215490141499
"V2_200",-0.032083448847625
"V2_201",-0.0207457502536386
"V2_202",0.0143450578995548
"V2_203",-0.0120974765130527
"V2_204",-0.013040762848317
"V2_205",-0.0192261982514725
"V2_206",0.00490069541388673
"V2_207",0.0104241592544946
"V2_208",-0.0217024080851544
"V2_209",0.0133211981552706
"V2_210",-0.0137269794231987
"V2_211",-0.0224854959196542
"V2_212",-0.0251731296095207
"V2_213",-0.0385702682064791
"V2_214",-0.0172462946430643
"V2_215",-0.00168697578285435
"V2_216",-0.0123445684757729
"V2_217",-0.0115753557872919
"V2_218",-0.0112692122253231
"V2_219",-0.00634793113210469
"V2_220",0.00214347527415469
"V2_221",-0.0353032513818569
"V2_222",-0.0130674855932335
"V2_223",-0.00385660968294528
"V2_224",-0.00622281058132123
