"","V1"
"V3_1",0.0411436081482069
"V3_2",0.04159486054311
"V3_3",0.0410957468149641
"V3_4",0.0419287709766936
"V3_5",-0.0370184417878988
"V3_6",-0.0788933110827598
"V3_7",0.0154560368618898
"V3_8",-0.029633324634138
"V3_9",-0.0125927340537123
"V3_10",-0.0535072421923841
"V3_11",-0.0690286641419871
"V3_12",0.00213361480912892
"V3_13",-0.0242755690106385
"V3_14",0.0193779008018096
"V3_15",-0.00351850541433716
"V3_16",0.0111900597587942
"V3_17",-0.0605459871989221
"V3_18",-0.0581116823706896
"V3_19",-0.0578780267372496
"V3_20",-0.0788872518979517
"V3_21",-0.096272687430569
"V3_22",0.00583719895717251
"V3_23",0.0487547336703684
"V3_24",0.0437177300635604
"V3_25",0.0102363429715417
"V3_26",-0.00736359858617062
"V3_27",-0.0553332019619949
"V3_28",-0.0622394779167595
"V3_29",-0.0355927424311546
"V3_30",-0.0457507689495162
"V3_31",-0.0599918890126002
"V3_32",-0.00953119845010538
"V3_33",-0.00246392157057925
"V3_34",-0.0488002496257445
"V3_35",-0.0289541047992423
"V3_36",-0.0431732694914815
"V3_37",-0.0502485840127587
"V3_38",-0.0318785487334065
"V3_39",0.0145367775608146
"V3_40",-0.0331952377615791
"V3_41",-0.0492195389185362
"V3_42",-0.0167007480613802
"V3_43",-0.0375762212192461
"V3_44",0.0104451510049092
"V3_45",-0.0382785411998463
"V3_46",0.00459509327243216
"V3_47",-0.0399021293865608
"V3_48",-0.0319129508713206
"V3_49",-0.0589205246861734
"V3_50",-0.0465691015762136
"V3_51",-0.0534278731822693
"V3_52",-0.0552315108641943
"V3_53",-0.0541186623598543
"V3_54",-0.0258388772106748
"V3_55",-0.046524664614743
"V3_56",-0.0435799654567179
"V3_57",-0.0485530428807432
"V3_58",-0.0444661295547876
"V3_59",-0.0311269161371113
"V3_60",-0.0464004111487838
"V3_61",-0.0538023214062006
"V3_62",-0.0414336674556566
"V3_63",-0.0637334815000533
"V3_64",-0.0662524211412257
"V3_65",-0.0662579183289591
"V3_66",-0.0724262219077109
"V3_67",-0.0833204402035925
"V3_68",-0.0286233424709976
"V3_69",-0.00374072804893744
"V3_70",-0.0266460857909527
"V3_71",0.000899514066081732
"V3_72",0.0129806704680118
"V3_73",-0.115828219219776
"V3_74",-0.0238804237769632
"V3_75",0.0116414908080595
"V3_76",-0.0721125805794687
"V3_77",-0.0241374476609999
"V3_78",-0.0805991341750165
"V3_79",-0.00301446015368462
"V3_80",0.0018041681161748
"V3_81",-0.00557314559093781
"V3_82",-0.0643674131086562
"V3_83",-0.0996102344053049
"V3_84",-0.0939195501318825
"V3_85",-0.0189732636741405
"V3_86",-0.0599769793105917
"V3_87",0.00130568480131631
"V3_88",0.0564352162207856
"V3_89",-0.0588297483378603
"V3_90",-0.04612801317439
"V3_91",-0.00312851927610932
"V3_92",0.018874459514693
"V3_93",0.030989292433353
"V3_94",-0.0509063024503541
"V3_95",-0.0133390408938543
"V3_96",-0.0878000521815626
"V3_97",-0.0122805138181223
"V3_98",-0.0479225924610906
"V3_99",-0.0279064980796106
"V3_100",-0.0491173228044381
"V3_101",-0.104168944257102
"V3_102",-0.0254504226206975
"V3_103",-0.0638560912830535
"V3_104",-0.0424280295578735
"V3_105",-0.0525716437733934
"V3_106",-0.0400260129542865
"V3_107",-0.0341716010517946
"V3_108",0.0306011494185362
"V3_109",-0.0153636026672332
"V3_110",0.0198163731588106
"V3_111",-0.0486574254684069
"V3_112",-0.0899006012966977
"V3_113",-0.0518816317903285
"V3_114",-0.0792357036957322
"V3_115",-0.115922780033688
"V3_116",-0.0883135833186078
"V3_117",-0.00921803670030377
"V3_118",0.122587218936121
"V3_119",0.0112070151665284
"V3_120",-0.0414539868587829
"V3_121",-0.02658945568361
"V3_122",0.00355360969352901
"V3_123",0.0210345139120328
"V3_124",-0.00794052671183621
"V3_125",-0.0112119079006446
"V3_126",0.0127975156957634
"V3_127",-0.00152026584149649
"V3_128",0.00851933515999992
"V3_129",-0.0421633605406193
"V3_130",-0.0895667738798106
"V3_131",-0.0388838829247391
"V3_132",-0.00124699873084805
"V3_133",-0.00592321213737453
"V3_134",-0.0100756772666112
"V3_135",-0.0917797237461815
"V3_136",-0.0897901331624547
"V3_137",-0.083290152723563
"V3_138",-0.0218109917277906
"V3_139",-0.0183564995998757
"V3_140",-0.0197042105420514
"V3_141",-0.00730662456995245
"V3_142",-0.0394389383030644
"V3_143",-0.0330005801021313
"V3_144",-0.0281208574031804
"V3_145",-0.092506901841073
"V3_146",-0.0277371050199277
"V3_147",0.000554111508030191
"V3_148",-0.0548880144050412
"V3_149",-0.0470094248304298
"V3_150",-0.0110055491510231
"V3_151",-0.03443802713599
"V3_152",-0.0621877186370002
"V3_153",-0.0459366590009672
"V3_154",-0.00819851670745289
"V3_155",-0.0266466526858008
"V3_156",-0.0471590486645631
"V3_157",-0.0304552420979921
"V3_158",-0.0272886970092324
"V3_159",-0.0113821463677551
"V3_160",-0.040160208999429
"V3_161",-0.0453531376945775
"V3_162",-0.0144245668744978
"V3_163",-0.0689472477231087
"V3_164",-0.0733367567885812
"V3_165",-0.0812568693333425
"V3_166",-0.103767197195051
"V3_167",-0.0475530407139261
"V3_168",-0.0600809563694669
"V3_169",-0.0677016789719228
"V3_170",-0.0257225208588949
"V3_171",-0.0252367915032114
"V3_172",-0.0456043905226396
"V3_173",-0.0809172188768016
"V3_174",-0.0644202324750713
"V3_175",0.00996215631431948
"V3_176",-0.000567030506654071
"V3_177",0.006315677288109
"V3_178",-0.0626236145110313
"V3_179",-0.0322742771940769
"V3_180",-0.0818891190028303
"V3_181",-0.0163949912371133
"V3_182",-0.0203440547934304
"V3_183",-0.0447605075668952
"V3_184",-0.00491404527230313
"V3_185",0.0123517160494937
"V3_186",0.0694574810570474
"V3_187",-0.0532519212755394
"V3_188",-0.0827743334135825
"V3_189",0.0110328936739853
"V3_190",-0.0296478868389982
"V3_191",0.0285949344759641
"V3_192",0.00453711400637903
"V3_193",-0.0674424208192788
"V3_194",-0.0129306136276532
"V3_195",0.00439656720106322
"V3_196",-0.0961025758902665
"V3_197",-0.0668646098242777
"V3_198",-0.0580367432865951
"V3_199",-0.0113762941454807
"V3_200",-0.040976463690994
"V3_201",-0.0243607921002129
"V3_202",-0.0611701435245025
"V3_203",-0.055565776800591
"V3_204",-0.0503855919450733
"V3_205",-0.0504646137840003
"V3_206",-0.0590411040141397
"V3_207",-0.0589103899016316
"V3_208",-0.049840240218259
"V3_209",-0.0513614333637202
"V3_210",-0.00646573700317218
"V3_211",-0.0309112086917983
"V3_212",-0.0563055833770615
"V3_213",-0.0593339646792882
"V3_214",-0.0492380081000267
"V3_215",-0.060965732948731
"V3_216",-0.00744385387346109
"V3_217",-0.0133986486384066
"V3_218",-0.045248783486981
"V3_219",-0.0416493250682673
"V3_220",-0.0367754472796678
"V3_221",-0.018856234364157
"V3_222",-0.0238840259066961
"V3_223",-0.0139937430401916
"V3_224",-0.015208064197133
"V3_225",-0.0599696878092218
"V3_226",-0.00291845614737217
"V3_227",-0.0199103144831161
"V3_228",-0.0415242767727216
"V3_229",-0.0346647004423769
"V3_230",-0.0406276675970494
"V3_231",-0.00824343804857893
"V3_232",-0.0060253958391325
"V3_233",0.022343666940125
"V3_234",0.028473278608645
"V3_235",-0.0198615596212073
"V3_236",-0.0576404880840364
"V3_237",-0.00376346185609311
"V3_238",-0.0621659833656435
"V3_239",0.0508717605004222
"V3_240",-0.0568681061339016
"V3_241",-0.00545638676761939
"V3_242",0.00462816804169805
"V3_243",0.0242403713148618
"V3_244",-0.0406551799006628
"V3_245",0.0113445100151528
"V3_246",-0.0331846774476323
"V3_247",-0.0253298451837508
"V3_248",-0.0445994456678938
"V3_249",-0.0360178804271462
"V3_250",-0.0145594097749197
"V3_251",-0.038334028828926
"V3_252",-0.0697628732473884
"V3_253",-0.0682039902726189
"V3_254",-0.0157354776624882
"V3_255",-0.0726732089328053
"V3_256",-0.0567895673419929
"V3_257",0.0280103113532274
"V3_258",0.0281792041768271
"V3_259",-0.0569177053692894
"V3_260",-0.0427411786466796
"V3_261",-0.0331574562262374
"V3_262",-0.0443809772260414
"V3_263",-0.0536513035688093
"V3_264",-0.029319242724029
"V3_265",-0.0329855947734305
"V3_266",0.00161639825206577
"V3_267",-0.0854025413362866
"V3_268",-0.0501432356492475
"V3_269",-0.0109943204214844
"V3_270",-0.0414834573724057
"V3_271",0.00902261446051775
"V3_272",-0.0333838012795824
"V3_273",-0.0683101179919608
"V3_274",-0.0574270707011083
"V3_275",-0.0329039572013016
"V3_276",0.0788671754332032
"V3_277",-0.017648895806369
"V3_278",-0.0489595545005084
"V3_279",-0.0291352747625728
"V3_280",-0.0165473491602313
"V3_281",-0.0116470871486709
"V3_282",-0.0998473988191214
"V3_283",-0.0716823197185523
"V3_284",0.00301001609137377
"V3_285",-0.0334261424124407
"V3_286",-0.015275879524752
"V3_287",0.00559235744136166
"V3_288",-0.0574042898948218
"V3_289",-0.0268452415119214
"V3_290",0.0147609393780303
"V3_291",-0.0406195889916853
"V3_292",-0.0668200443264557
"V3_293",-0.0033065333645389
"V3_294",-0.0384605456328456
"V3_295",-0.0599460250276245
"V3_296",-0.0387509800318936
"V3_297",-0.0533431033143692
"V3_298",0.00469502764191798
"V3_299",0.0105746142713699
"V3_300",-0.00824917426739206
"V3_301",-4.78419760028476e-05
"V3_302",-0.0750813426716948
"V3_303",-0.0185045672314879
"V3_304",-0.048031082761933
"V3_305",0.00119095784245139
"V3_306",-0.0367397279814678
"V3_307",0.0132675233894082
"V3_308",0.00363431804290581
"V3_309",-0.0337499313227454
"V3_310",-0.0117607221783628
"V3_311",0.0197080803118117
"V3_312",-0.0293718180034139
"V3_313",-0.0335123696944257
"V3_314",-0.0230284319086333
"V3_315",-0.00742552148247151
"V3_316",-0.110115928257076
"V3_317",-0.0317106172315734
"V3_318",-0.0885195246555169
"V3_319",0.00972120566464398
"V3_320",-0.0245608873503609
"V3_321",-0.0131338799668912
"V3_322",-0.00336416779741313
"V3_323",-0.0185208959370161
"V3_324",0.0126080018283015
"V3_325",-0.029579209457632
"V3_326",-0.0196275472249513
"V3_327",0.0130314707903177
"V3_328",-0.0165110117950506
"V3_329",-0.00869498559885327
"V3_330",-0.00164123873054872
"V3_331",0.00438946651809401
"V3_332",-0.030767388643676
"V3_333",-0.0834036455039492
"V3_334",-0.0790040214722962
"V3_335",-0.088418285467475
"V3_336",-0.0825084753978278
"V3_337",-0.0372006078045207
"V3_338",-0.0365581677326855
"V3_339",-0.115334932069147
"V3_340",0.00586918504359021
"V3_341",-0.0503725972574956
"V3_342",-0.0467742973237189
"V3_343",-0.0493229450192314
"V3_344",-0.0707987529091726
"V3_345",-0.0625646028745245
"V3_346",-0.0374512313551239
"V3_347",-0.0379929085696913
"V3_348",-0.0373595498245874
"V3_349",-0.0933130502951093
"V3_350",-0.0410552826419719
"V3_351",-0.0874761727255447
"V3_352",-0.000178569060211341
"V3_353",-0.0272443190086494
"V3_354",-0.00887898932981906
"V3_355",-0.024158834078506
"V3_356",-0.0720207669375944
"V3_357",-0.0868430349423769
"V3_358",-0.0469692736302721
"V3_359",-0.0492607089297812
"V3_360",-0.0238948609467573
"V3_361",-0.0497643407697222
"V3_362",-0.0375499600237567
"V3_363",-0.0161682001350169
"V3_364",-0.0342300491693878
"V3_365",-0.0668388181050197
"V3_366",-0.0358682337306019
"V3_367",-0.0830789225349222
"V3_368",-0.123466013367938
"V3_369",-0.0800956026113443
"V3_370",-0.0591456456217563
"V3_371",-0.0364325851133056
"V3_372",-0.057313941851733
"V3_373",-0.0999539810937787
"V3_374",-0.0331057029065249
"V3_375",-0.0301343829478395
"V3_376",-0.0919909067324806
"V3_377",0.0105816645551067
"V3_378",-0.0466839623608715
"V3_379",-0.0372751070059528
"V3_380",-0.00521568604417465
"V3_381",-0.0482554855379586
"V3_382",0.0110949876597314
"V3_383",-0.0477755614121286
"V3_384",0.0249523678902528
"V3_385",-0.0407394720215492
"V3_386",-0.021110232446252
"V3_387",-0.00652786676444637
"V3_388",-0.0504630767071648
"V3_389",-0.0295783642908056
"V3_390",0.0256975680293814
"V3_391",-0.0521103122946964
"V3_392",-0.042308483554315
"V3_393",-0.0364357476494183
"V3_394",0.0204817455961604
"V3_395",0.00786425028314128
"V3_396",-0.0059148425175383
"V3_397",-0.0331609266354926
"V3_398",-0.0181725814709981
"V3_399",-0.0736364969031285
"V3_400",0.0330025789317358
"V3_401",-0.0458396225940571
"V3_402",-0.0556710387703094
"V3_403",-0.00689494704248941
"V3_404",-0.0471630001016668
"V3_405",0.00314269969734062
"V3_406",-0.0427894138705246
"V3_407",-0.0328709339652132
"V3_408",-0.0130033308045365
"V3_409",-0.0276663955497203
"V3_410",0.0096735938714017
"V3_411",0.00335204486564106
"V3_412",-0.0683003455654221
"V3_413",-0.0384122227489701
"V3_414",-0.00713396164003932
"V3_415",-0.0768220469457505
"V3_416",-0.0626022595304786
