"","V1"
"V2_1",0
"V2_2",0
"V2_3",0
"V2_4",0
"V2_5",0
"V2_6",0
"V2_7",0
"V2_8",0
"V2_9",0
"V2_10",0
"V2_11",0
"V2_12",0
"V2_13",0
"V2_14",0
"V2_15",0
"V2_16",0
"V2_17",0
"V2_18",0
"V2_19",0
"V2_20",0
"V2_21",0
"V2_22",0
"V2_23",0
"V2_24",0
"V2_25",0
"V2_26",0
"V2_27",0
"V2_28",0
"V2_29",0
"V2_30",0
"V2_31",0
"V2_32",0
"V2_33",0
"V2_34",0
"V2_35",0
"V2_36",0
"V2_37",0
"V2_38",0
"V2_39",0
"V2_40",0
"V2_41",0
"V2_42",0
"V2_43",0
"V2_44",0
"V2_45",0
"V2_46",0
"V2_47",0
"V2_48",0
"V2_49",0
"V2_50",0
"V2_51",0
"V2_52",0
"V2_53",0
"V2_54",0
"V2_55",0
"V2_56",0
"V2_57",0
"V2_58",0
"V2_59",0
"V2_60",0
"V2_61",0
"V2_62",0
"V2_63",0
"V2_64",0
"V2_65",0
"V2_66",0
"V2_67",0
"V2_68",0
"V2_69",0
"V2_70",0
"V2_71",0
"V2_72",0
"V2_73",0
"V2_74",0
"V2_75",0
"V2_76",0
"V2_77",0
"V2_78",0
"V2_79",0
"V2_80",0
"V2_81",0
"V2_82",0
"V2_83",0
"V2_84",0
"V2_85",0
"V2_86",0
"V2_87",0
"V2_88",0
"V2_89",0
"V2_90",0
"V2_91",0
"V2_92",0
"V2_93",0
"V2_94",0
"V2_95",0
"V2_96",0
"V2_97",0
"V2_98",0
"V2_99",0
"V2_100",0
"V2_101",0
"V2_102",0
"V2_103",0
"V2_104",0
"V2_105",0
"V2_106",0
"V2_107",0
"V2_108",0
"V2_109",0
"V2_110",0
"V2_111",0
"V2_112",0
"V2_113",0
"V2_114",0
"V2_115",0
"V2_116",0
"V2_117",0
"V2_118",0
"V2_119",0
"V2_120",0
"V2_121",0
"V2_122",0
"V2_123",0
"V2_124",0
"V2_125",0
"V2_126",0
"V2_127",0
"V2_128",0
"V2_129",0
"V2_130",0
"V2_131",0
"V2_132",0
"V2_133",0
"V2_134",0
"V2_135",0
"V2_136",0
"V2_137",0
"V2_138",0
"V2_139",0
"V2_140",0
"V2_141",0
"V2_142",-0.183220186581466
"V2_143",0
"V2_144",0
"V2_145",0
"V2_146",0
"V2_147",0
"V2_148",0
"V2_149",0
"V2_150",0
"V2_151",0
"V2_152",0
"V2_153",0
"V2_154",0
"V2_155",0
"V2_156",0
"V2_157",0
"V2_158",0
"V2_159",0
"V2_160",0
"V2_161",0
"V2_162",0
"V2_163",0
"V2_164",0
"V2_165",0
"V2_166",0
"V2_167",0
"V2_168",0
"V2_169",0
"V2_170",0
"V2_171",0
"V2_172",0
"V2_173",0
"V2_174",0
"V2_175",0
"V2_176",0
"V2_177",0
