,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,30,Specificity,1.0,0.0
1,RGCCA,Linear,30,Precision,1.0,0.0
2,RGCCA,Linear,30,Recall,0.30840136487432285,0.024422198081125775
3,RGCCA,Linear,30,FS,0.4708871230299378,0.02839802061692824
4,RGCCA,Linear,30,MCC,0.41088608617880235,0.03541556202932775
5,SGCCA,Linear,30,Specificity,1.0,0.0
6,SGCCA,Linear,30,Precision,1.0,0.0
7,SGCCA,Linear,30,Recall,0.2840954955685393,0.02646204041984538
8,SGCCA,Linear,30,FS,0.44183016320797913,0.03171158667668563
9,SGCCA,Linear,30,MCC,0.3730800847859295,0.04154329089481147
10,DGCCA,Linear,30,Specificity,0.8310705061223805,0.08378187230363093
11,DGCCA,Linear,30,Precision,0.7933333333333333,0.11135528725660046
12,DGCCA,Linear,30,Recall,0.1659204672615102,0.022317752737855946
13,DGCCA,Linear,30,FS,0.274345149109419,0.03678315246173047
14,DGCCA,Linear,30,MCC,-0.003656632939770077,0.11396479055735959
15,KSSHIBA,Linear,30,Specificity,0.8275862068965519,2.220446049250313e-16
16,KSSHIBA,Linear,30,Precision,0.6666666666666669,2.220446049250313e-16
17,KSSHIBA,Linear,30,Recall,0.1639344262295082,2.7755575615628914e-17
18,KSSHIBA,Linear,30,FS,0.2631578947368421,0.0
19,KSSHIBA,Linear,30,MCC,-0.010632884133003033,1.734723475976807e-18
20,SNGCCA,Linear,30,Specificity,0.9993205212061376,0.00296208107891156
21,SNGCCA,Linear,30,Precision,0.9966666666666667,0.014529663145135577
22,SNGCCA,Linear,30,Recall,0.9489938510491918,0.06531231546283463
23,SNGCCA,Linear,30,FS,0.971155653170359,0.03838478082347003
24,SNGCCA,Linear,30,MCC,0.9661281138108623,0.04489693584760465
25,RGCCA,Nonlinear,30,Specificity,0.854724367455879,0.08090503120240536
26,RGCCA,Nonlinear,30,Precision,0.826,0.09883544123665583
27,RGCCA,Nonlinear,30,Recall,0.17169551658369925,0.019466796309180016
28,RGCCA,Nonlinear,30,FS,0.2842120098477548,0.03215182347190258
29,RGCCA,Nonlinear,30,MCC,0.027376240169146894,0.10486919088275182
30,SGCCA,Nonlinear,30,Specificity,0.8400402628342627,0.07357830938483684
31,SGCCA,Nonlinear,30,Precision,0.802,0.09543118521275482
32,SGCCA,Nonlinear,30,Recall,0.1680708646174734,0.018198461086120932
33,SGCCA,Nonlinear,30,FS,0.27783343850199904,0.030310145750556496
34,SGCCA,Nonlinear,30,MCC,0.00825483817662684,0.09718509180055622
35,DGCCA,Nonlinear,30,Specificity,0.607323199244406,0.08436147319226422
36,DGCCA,Nonlinear,30,Precision,0.37133333333333335,0.14974200034281185
37,DGCCA,Nonlinear,30,Recall,0.08385114211251199,0.031729337441956364
38,DGCCA,Nonlinear,30,FS,0.13673704285371355,0.05229354101015106
39,DGCCA,Nonlinear,30,MCC,-0.3648986611464738,0.1320990522678137
40,KSSHIBA,Nonlinear,30,Specificity,0.7639750733137832,0.016858417215935926
41,KSSHIBA,Nonlinear,30,Precision,0.5046666666666666,0.04643274706497559
42,KSSHIBA,Nonlinear,30,Recall,0.12912350426035865,0.010391047462879398
43,KSSHIBA,Nonlinear,30,FS,0.2056291743798594,0.01703193653186152
44,KSSHIBA,Nonlinear,30,MCC,-0.136904751093159,0.03557151259533607
45,SNGCCA,Nonlinear,30,Specificity,0.9820747896840001,0.018247170279527315
46,SNGCCA,Nonlinear,30,Precision,0.9080000000000003,0.09417713806085494
47,SNGCCA,Nonlinear,30,Recall,0.984489010989011,0.06609179696146418
48,SNGCCA,Nonlinear,30,FS,0.9432993979200878,0.07567803788311657
49,SNGCCA,Nonlinear,30,MCC,0.9349073211051149,0.08821708833631801
50,RGCCA,Linear,50,Specificity,1.0,0.0
51,RGCCA,Linear,50,Precision,1.0,0.0
52,RGCCA,Linear,50,Recall,0.20242687335380377,0.015975254096719318
53,RGCCA,Linear,50,FS,0.3364071313837425,0.02183873407471646
54,RGCCA,Linear,50,MCC,0.3363719744491711,0.025720261758936578
55,SGCCA,Linear,50,Specificity,0.999496442255063,0.003762520743795508
56,SGCCA,Linear,50,Precision,0.9980000000000001,0.014772346537440226
57,SGCCA,Linear,50,Recall,0.18099375645695978,0.014570662486730883
58,SGCCA,Linear,50,FS,0.30618219856561163,0.02087319454841027
59,SGCCA,Linear,50,MCC,0.2981837970269839,0.02852700202267273
60,DGCCA,Linear,50,Specificity,0.8893436808447295,0.04044366939983183
61,DGCCA,Linear,50,Precision,0.6946666666666667,0.11744691472225985
62,DGCCA,Linear,50,Recall,0.09574813489788003,0.015378721024865922
63,DGCCA,Linear,50,FS,0.1682708072942782,0.027118238952861338
64,DGCCA,Linear,50,MCC,-0.02238173272123326,0.08267636491725039
65,KSSHIBA,Linear,50,Specificity,0.8347943723913751,0.0020544384114459997
66,KSSHIBA,Linear,50,Precision,0.3333333333333334,1.1102230246251565e-16
67,KSSHIBA,Linear,50,Recall,0.055894876035325475,0.0004717063555268711
68,KSSHIBA,Linear,50,FS,0.09573541558886861,0.0006917604031298374
69,KSSHIBA,Linear,50,MCC,-0.17874842477767616,0.0037728552515996095
70,SNGCCA,Linear,50,Specificity,0.9995482940730388,0.0025668323785848204
71,SNGCCA,Linear,50,Precision,0.996,0.022744962812309304
72,SNGCCA,Linear,50,Recall,0.9365069229446163,0.07161039310220742
73,SNGCCA,Linear,50,FS,0.9641359806385899,0.044640529267519
74,SNGCCA,Linear,50,MCC,0.9611461313283465,0.048457078305279795
75,RGCCA,Nonlinear,50,Specificity,0.9027592022007644,0.04483342947403089
76,RGCCA,Nonlinear,50,Precision,0.7419999999999999,0.12280246106835338
77,RGCCA,Nonlinear,50,Recall,0.10076420818612256,0.01577986238861128
78,RGCCA,Nonlinear,50,FS,0.17739794148547308,0.027866370893638547
79,RGCCA,Nonlinear,50,MCC,0.004879562785477168,0.08807121878597479
80,SGCCA,Nonlinear,50,Specificity,0.8975063433630683,0.041476116625206755
81,SGCCA,Nonlinear,50,Precision,0.728,0.10859916103625196
82,SGCCA,Nonlinear,50,Recall,0.09936440475264201,0.0146690724626079
83,SGCCA,Nonlinear,50,FS,0.1748347346575045,0.02576105791371016
84,SGCCA,Nonlinear,50,MCC,-0.004166291391542306,0.08161772062536392
85,DGCCA,Nonlinear,50,Specificity,0.7441174780079512,0.03727412111012896
86,DGCCA,Nonlinear,50,Precision,0.20133333333333325,0.11312922797501195
87,DGCCA,Nonlinear,50,Recall,0.029176420023619743,0.016200655787789574
88,DGCCA,Nonlinear,50,FS,0.0509534208958502,0.028317944656827722
89,DGCCA,Nonlinear,50,MCC,-0.3492385844439218,0.07739924646618541
90,KSSHIBA,Nonlinear,50,Specificity,0.8979591836734692,2.220446049250313e-16
91,KSSHIBA,Nonlinear,50,Precision,0.6666666666666669,2.220446049250313e-16
92,KSSHIBA,Nonlinear,50,Recall,0.09900990099009901,0.0
93,KSSHIBA,Nonlinear,50,FS,0.17241379310344823,2.7755575615628914e-17
