Methods	Scenario	n	type	Values	Confidence
SNGCCA	Linear	30	Specificity	0.9775	0.0248
SNGCCA	Linear	50	Specificity	0.9819	0.0162
SNGCCA	Linear	80	Specificity	0.9897	0.0099
SNGCCA	Linear	100	Specificity	0.9873	0.0075
SNGCCA	Linear	200	Specificity	0.9873	0.0075
SNGCCA	NonLinear	30	Specificity	0.9769	0.0183
SNGCCA	NonLinear	50	Specificity	0.9775	0.0184
SNGCCA	NonLinear	80	Specificity	0.9818	0.011
SNGCCA	NonLinear	100	Specificity	0.979	0.0066
SNGCCA	NonLinear	200	Specificity	0.9873	0.0075
DGCCA	Linear	30	Specificity	0.8273	0.0081
DGCCA	Linear	50	Specificity	0.8886	0.0491
DGCCA	Linear	80	Specificity	0.9144	0.0261
DGCCA	Linear	100	Specificity	0.9374	0.0235
DGCCA	Linear	200	Specificity	0.9704	0.0108
DGCCA	NonLinear	30	Specificity	0.604	0.0915
DGCCA	NonLinear	50	Specificity	0.727	0.0508
DGCCA	NonLinear	80	Specificity	0.8541	0.0281
DGCCA	NonLinear	100	Specificity	0.9049	0.0191
DGCCA	NonLinear	200	Specificity	0.968	0.0053
RGCCA	Linear	30	Specificity	0.8216	0.1658
RGCCA	Linear	50	Specificity	0.8936	0.1043
RGCCA	Linear	80	Specificity	0.9442	0.047
RGCCA	Linear	100	Specificity	0.9546	0.0395
RGCCA	Linear	200	Specificity	0.9723	0.018
RGCCA	NonLinear	30	Specificity	0.8786	0.1554
RGCCA	NonLinear	50	Specificity	0.9161	0.086
RGCCA	NonLinear	80	Specificity	0.938	0.0555
RGCCA	NonLinear	100	Specificity	0.9536	0.044
RGCCA	NonLinear	200	Specificity	0.9767	0.0179
SGCCA	Linear	30	Specificity	0.8271	0.178
SGCCA	Linear	50	Specificity	0.9101	0.0837
SGCCA	Linear	80	Specificity	0.9442	0.0517
SGCCA	Linear	100	Specificity	0.9548	0.0357
SGCCA	Linear	200	Specificity	0.9746	0.0181
SGCCA	NonLinear	30	Specificity	0.8371	0.2349
SGCCA	NonLinear	50	Specificity	0.8974	0.112
SGCCA	NonLinear	80	Specificity	0.9326	0.0588
SGCCA	NonLinear	100	Specificity	0.9505	0.0422
SGCCA	NonLinear	200	Specificity	0.9784	0.019
KSSHIBA	Linear	30	Specificity	0.7804	0.0546
KSSHIBA	Linear	50	Specificity	0.8823	0.0669
KSSHIBA	Linear	80	Specificity	0.8835	0.0825
KSSHIBA	Linear	100	Specificity	0.8514	0.0623
KSSHIBA	Linear	200	Specificity	0.9329	0.0298
KSSHIBA	NonLinear	30	Specificity	0.5351	0.0623
KSSHIBA	NonLinear	50	Specificity	0.6373	0.0136
KSSHIBA	NonLinear	80	Specificity	0.7864	0.0494
KSSHIBA	NonLinear	100	Specificity	0.8249	0.0858
KSSHIBA	NonLinear	200	Specificity	0.9239	0.0444
SNGCCA	Linear	30	Precision	0.8886	0.1233
SNGCCA	Linear	50	Precision	0.8387	0.1437
SNGCCA	Linear	80	Precision	0.8467	0.1459
SNGCCA	Linear	100	Precision	0.758	0.1432
SNGCCA	Linear	200	Precision	0.758	0.1432
SNGCCA	NonLinear	30	Precision	0.8886	0.0899
SNGCCA	NonLinear	50	Precision	0.8033	0.1601
