,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,100,Specificity,1.000000 ,0.000000 
1,RGCCA,Linear,100,Precision,1.000000 ,0.000000 
2,RGCCA,Linear,100,Recall,0.111419 ,0.007062 
3,RGCCA,Linear,100,FS,0.200427 ,0.011424 
4,RGCCA,Linear,100,MCC,0.253845 ,0.014659 
5,SGCCA,Linear,100,Specificity,0.999940 ,0.000599 
6,SGCCA,Linear,100,Precision,0.999333 ,0.006633 
7,SGCCA,Linear,100,Recall,0.102888 ,0.006560 
8,SGCCA,Linear,100,FS,0.186502 ,0.010795 
9,SGCCA,Linear,100,MCC,0.235334 ,0.014840 
10,DGCCA,Linear,100,Specificity,0.937293 ,0.021253 
11,DGCCA,Linear,100,Precision,0.536667 ,0.156454 
12,DGCCA,Linear,100,Recall,0.042557 ,0.012222 
13,DGCCA,Linear,100,FS,0.078851 ,0.022647 
14,DGCCA,Linear,100,MCC,-0.044559 ,0.073476 
15,KSSHIBA,Linear,100,Specificity,0.948832 ,0.002757 
16,KSSHIBA,Linear,100,Precision,0.662000 ,0.019448 
17,KSSHIBA,Linear,100,Recall,0.049418 ,0.001389 
18,KSSHIBA,Linear,100,FS,0.091971 ,0.002594 
19,KSSHIBA,Linear,100,MCC,-0.003782 ,0.008980 
20,SNGCCA,Linear,100,Specificity,0.998414 ,0.004295 
21,SNGCCA,Linear,100,Precision,0.992000 ,0.021664 
22,SNGCCA,Linear,100,Recall,0.976074 ,0.044285 
23,SNGCCA,Linear,100,FS,0.983312 ,0.025978 
24,SNGCCA,Linear,100,MCC,0.980358 ,0.030455 
25,RGCCA,Nonlinear,100,Specificity,0.949693 ,0.016825 
26,RGCCA,Nonlinear,100,Precision,0.626667 ,0.128236 
27,RGCCA,Nonlinear,100,Recall,0.049746 ,0.009869 
28,RGCCA,Nonlinear,100,FS,0.092165 ,0.018305 
29,RGCCA,Nonlinear,100,MCC,-0.001294 ,0.059024 
30,SGCCA,Nonlinear,100,Specificity,0.952266 ,0.014132 
31,SGCCA,Nonlinear,100,Precision,0.640667 ,0.108277 
32,SGCCA,Nonlinear,100,Recall,0.051397 ,0.008560 
33,SGCCA,Nonlinear,100,FS,0.095150 ,0.015836 
34,SGCCA,Nonlinear,100,MCC,0.008159 ,0.050352 
35,DGCCA,Nonlinear,100,Specificity,0.907111 ,0.015536 
36,DGCCA,Nonlinear,100,Precision,0.303333 ,0.110905 
37,DGCCA,Nonlinear,100,Recall,0.024334 ,0.008884 
38,DGCCA,Nonlinear,100,FS,0.045049 ,0.016439 
39,DGCCA,Nonlinear,100,MCC,-0.152036 ,0.053357 
40,KSSHIBA,Nonlinear,100,Specificity,0.909576 ,0.006369 
41,KSSHIBA,Nonlinear,100,Precision,0.264667 ,0.056139 
42,KSSHIBA,Nonlinear,100,Recall,0.022275 ,0.004630 
43,KSSHIBA,Nonlinear,100,FS,0.041091 ,0.008553 
44,KSSHIBA,Nonlinear,100,MCC,-0.153578 ,0.024749 
45,SNGCCA,Nonlinear,100,Specificity,0.987800 ,0.014571 
46,SNGCCA,Nonlinear,100,Precision,0.937330 ,0.075310 
47,SNGCCA,Nonlinear,100,Recall,0.995850 ,0.029708 
48,SNGCCA,Nonlinear,100,FS,0.964264 ,0.047633 
49,SNGCCA,Nonlinear,100,MCC,0.959320 ,0.054356 
50,RGCCA,Linear,200,Specificity,1.000000 ,0.000000 
51,RGCCA,Linear,200,Precision,1.000000 ,0.000000 
