Methods	Scenario	n	type	Values	Confidence
DGCCA	Linear	100	Specificity	0.9374	0.0235
DGCCA	Linear	200	Specificity	0.943	0.0166
DGCCA	Linear	400	Specificity	0.9533	0.0074
DGCCA	NonLinear	100	Specificity	0.9049	0.0191
DGCCA	NonLinear	200	Specificity	0.88	0.0092
DGCCA	NonLinear	400	Specificity	0.9204	0.0031
SNGCCA	Linear	100	Specificity	0.9873	0.0075
SNGCCA	Linear	200	Specificity	0.9883	0.0089
SNGCCA	Linear	400	Specificity	0.9921	0.0081
SNGCCA	NonLinear	100	Specificity	0.979	0.0066
SNGCCA	NonLinear	200	Specificity	0.9852	0.0091
SNGCCA	NonLinear	400	Specificity	0.9916	0.0095
KSSHIBA	Linear	100	Specificity	0.874	0.00412
KSSHIBA	Linear	200	Specificity	0.8501	0.00057
KSSHIBA	Linear	400	Specificity	0.9051	0.00868
KSSHIBA	NonLinear	100	Specificity	0.8108	0.00043
KSSHIBA	NonLinear	200	Specificity	0.877	0.00162
KSSHIBA	NonLinear	400	Specificity	0.8522	0.00259
RGCCA	Linear	100	Specificity	0.9546	0.0395
RGCCA	Linear	200	Specificity	0.9531	0.0409
RGCCA	Linear	400	Specificity	0.949	0.0279
RGCCA	NonLinear	100	Specificity	0.9536	0.044
RGCCA	NonLinear	200	Specificity	0.9576	0.0344
RGCCA	NonLinear	400	Specificity	0.9448	0.0423
SGCCA	Linear	100	Specificity	0.9548	0.0357
SGCCA	Linear	200	Specificity	0.9608	0.092
SGCCA	Linear	400	Specificity	0.9468	0.0353
SGCCA	NonLinear	100	Specificity	0.9505	0.0422
SGCCA	NonLinear	200	Specificity	0.9548	0.0422
SGCCA	NonLinear	400	Specificity	0.9451	0.0502
DGCCA	Linear	100	Precision	0.578	0.1395
DGCCA	Linear	200	Precision	0.5633	0.1276
DGCCA	Linear	400	Precision	0.3353	0.0995
DGCCA	NonLinear	100	Precision	0.3573	0.1081
DGCCA	NonLinear	200	Precision	0.0646	0.06
DGCCA	NonLinear	400	Precision	0.002	0.0114
SNGCCA	Linear	100	Precision	0.758	0.1432
SNGCCA	Linear	200	Precision	0.7773	0.169
SNGCCA	Linear	400	Precision	0.856	0.1463
SNGCCA	NonLinear	100	Precision	0.5973	0.1279
SNGCCA	NonLinear	200	Precision	0.7226	0.1691
SNGCCA	NonLinear	400	Precision	0.8547	0.1648
KSSHIBA	Linear	100	Precision	0.4876	0.00883
KSSHIBA	Linear	200	Precision	0.464	0.00023
KSSHIBA	Linear	400	Precision	0.3258	0.00308
KSSHIBA	NonLinear	100	Precision	0.3295	0.00328
KSSHIBA	NonLinear	200	Precision	0.0151	0.00417
KSSHIBA	NonLinear	400	Precision	0.0014	0.00556
RGCCA	Linear	100	Precision	0.9173	0.0719
