,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,5,Specificity,1,0
1,RGCCA,Linear,5,Precision,1,0
2,RGCCA,Linear,5,Recall,0.111419417,0.007062182
3,RGCCA,Linear,5,FS,0.200426729,0.011424405
4,RGCCA,Linear,5,MCC,0.253844694,0.014659101
5,SGCCA,Linear,5,Specificity,0.999939759,0.00059939
6,SGCCA,Linear,5,Precision,0.999333333,0.00663325
7,SGCCA,Linear,5,Recall,0.102887773,0.00656034
8,SGCCA,Linear,5,FS,0.186501942,0.010794671
9,SGCCA,Linear,5,MCC,0.235333856,0.014840006
10,DGCCA,Linear,5,Specificity,0.937292701,0.021253285
11,DGCCA,Linear,5,Precision,0.536666667,0.156453756
12,DGCCA,Linear,5,Recall,0.042557337,0.012222382
13,DGCCA,Linear,5,FS,0.078850755,0.022646879
14,DGCCA,Linear,5,MCC,-0.044558615,0.073475895
15,KSSHIBA,Linear,5,Specificity,0.948832183,0.002757454
16,KSSHIBA,Linear,5,Precision,0.662,0.019447936
17,KSSHIBA,Linear,5,Recall,0.049418179,0.001389192
18,KSSHIBA,Linear,5,FS,0.091970747,0.002593526
19,KSSHIBA,Linear,5,MCC,-0.003782064,0.008980143
20,SNGCCA,Linear,5,Specificity,0.998859655,0.003165094
21,SNGCCA,Linear,5,Precision,0.978666667,0.058026814
22,SNGCCA,Linear,5,Recall,0.924592266,0.106344586
23,SNGCCA,Linear,5,FS,0.948625438,0.082010642
24,SNGCCA,Linear,5,MCC,0.947242168,0.084143338
25,RGCCA,Nonlinear,5,Specificity,0.949693247,0.016825206
26,RGCCA,Nonlinear,5,Precision,0.626666667,0.128235894
27,RGCCA,Nonlinear,5,Recall,0.049745743,0.00986876
28,RGCCA,Nonlinear,5,FS,0.092165078,0.0183045
29,RGCCA,Nonlinear,5,MCC,-0.001294043,0.059023696
30,SGCCA,Nonlinear,5,Specificity,0.95226577,0.014132272
31,SGCCA,Nonlinear,5,Precision,0.640666667,0.108277421
32,SGCCA,Nonlinear,5,Recall,0.051396973,0.008560259
