Methods	Scenario	n	type	Values	Confidence
KSSHIBA	Linear	5	Specificity	0.9112	0.0521
KSSHIBA	Linear	10	Specificity	0.8352	0.0975
KSSHIBA	NonLinear	5	Specificity	0.7429	0.0085
KSSHIBA	NonLinear	10	Specificity	0.8615	0.0557
KSSHIBA	Linear	20	Specificity	0.7441	0.0335
KSSHIBA	NonLinear	20	Specificity	0.607	0.075
SNGCCA	Linear	5	Specificity	0.9873	0.1569
SNGCCA	Linear	10	Specificity	0.9516	0.1927
SNGCCA	Linear	20	Specificity	0.8932	0.1416
SNGCCA	NonLinear	5	Specificity	0.979	0.1021
SNGCCA	NonLinear	10	Specificity	0.9701	0.1656
SNGCCA	NonLinear	20	Specificity	0.9353	0.1413
DGCCA	Linear	5	Specificity	0.9374	0.0735
DGCCA	Linear	10	Specificity	0.8699	0.0625
DGCCA	Linear	20	Specificity	0.755	0.0643
DGCCA	NonLinear	5	Specificity	0.9049	0.0576
DGCCA	NonLinear	10	Specificity	0.8164	0.0551
DGCCA	NonLinear	20	Specificity	0.6588	0.0521
RGCCA	Linear	5	Specificity	0.9546	0.0563
RGCCA	Linear	10	Specificity	0.9044	0.0621
RGCCA	Linear	20	Specificity	0.7947	0.0529
RGCCA	NonLinear	5	Specificity	0.9536	0.0567
RGCCA	NonLinear	10	Specificity	0.9044	0.0566
RGCCA	NonLinear	20	Specificity	0.7964	0.0608
SGCCA	Linear	5	Specificity	0.9548	0.0509
SGCCA	Linear	10	Specificity	0.9066	0.0595
SGCCA	Linear	20	Specificity	0.7905	0.0582
SGCCA	NonLinear	5	Specificity	0.9505	0.0534
SGCCA	NonLinear	10	Specificity	0.9192	0.0543
SGCCA	NonLinear	20	Specificity	0.8137	0.0565
KSSHIBA	Linear	5	Precision	0.5551	0.0686
KSSHIBA	Linear	10	Precision	0.4989	0.0219
KSSHIBA	NonLinear	5	Precision	0.4862	0.046
KSSHIBA	NonLinear	10	Precision	0.3557	0.0643
KSSHIBA	Linear	20	Precision	0.269	0.0751
KSSHIBA	NonLinear	20	Precision	0.1563	0.0452
SNGCCA	Linear	5	Precision	0.758	0.1503
SNGCCA	Linear	10	Precision	0.5553	0.17
SNGCCA	Linear	20	Precision	0.525	0.1331
SNGCCA	NonLinear	5	Precision	0.5973	0.1009
SNGCCA	NonLinear	10	Precision	0.7323	0.1482
SNGCCA	NonLinear	20	Precision	0.7333	0.1158
DGCCA	Linear	5	Precision	0.578	0.0208
DGCCA	Linear	10	Precision	0.5253	0.0235
DGCCA	Linear	20	Precision	0.5342	0.0306
DGCCA	NonLinear	5	Precision	0.3573	0.0157
DGCCA	NonLinear	10	Precision	0.3143	0.0223
DGCCA	NonLinear	20	Precision	0.2486	0.0254
RGCCA	Linear	5	Precision	0.9173	0.0073
RGCCA	Linear	10	Precision	0.8847	0.0124
RGCCA	Linear	20	Precision	0.8655	0.0135
RGCCA	NonLinear	5	Precision	0.928	0.0068
RGCCA	NonLinear	10	Precision	0.9257	0.0091
RGCCA	NonLinear	20	Precision	0.9222	0.0115
SGCCA	Linear	5	Precision	0.9186	0.0067
SGCCA	Linear	10	Precision	0.9013	0.0112
SGCCA	Linear	20	Precision	0.8767	0.0142
SGCCA	NonLinear	5	Precision	0.9273	0.0064
SGCCA	NonLinear	10	Precision	0.9357	0.0086
SGCCA	NonLinear	20	Precision	0.9278	0.0106
KSSHIBA	Linear	5	Recall	0.0241	0.0495
KSSHIBA	Linear	10	Recall	0.0669	0.0066
KSSHIBA	NonLinear	5	Recall	0.1422	0.0977
KSSHIBA	NonLinear	10	Recall	-0.0183	0.0674
KSSHIBA	Linear	20	Recall	-0.0466	0.0836
KSSHIBA	NonLinear	20	Recall	0.0542	0.0169
SNGCCA	Linear	5	Recall	0.831	0.188
SNGCCA	Linear	10	Recall	0.7142	0.2371
SNGCCA	Linear	20	Recall	0.9154	0.1421
SNGCCA	NonLinear	5	Recall	0.6764	0.0762
SNGCCA	NonLinear	10	Recall	0.7112	0.1575
SNGCCA	NonLinear	20	Recall	0.8048	0.1229
DGCCA	Linear	5	Recall	0.0442	0.0113
DGCCA	Linear	10	Recall	0.0832	0.0136
DGCCA	Linear	20	Recall	0.1728	0.02
DGCCA	NonLinear	5	Recall	0.0272	0.0085
DGCCA	NonLinear	10	Recall	0.0502	0.0129
DGCCA	NonLinear	20	Recall	0.0891	0.0173
RGCCA	Linear	5	Recall	0.0504	0.0039
RGCCA	Linear	10	Recall	0.1005	0.0069
RGCCA	Linear	20	Recall	0.1993	0.0083
RGCCA	NonLinear	5	Recall	0.0501	0.0036
RGCCA	NonLinear	10	Recall	0.1002	0.005
RGCCA	NonLinear	20	Recall	0.1995	0.0069
SGCCA	Linear	5	Recall	0.0503	0.0353
SGCCA	Linear	10	Recall	0.1007	0.0062
