Methods,Scenario,n,p,s,type,Values,std
DGCCA,Linear,100,30,5,Specificity,0.4289333333333334,0.014271073323179149
DGCCA,Linear,100,30,5,Precision,0.06643584032165926,0.001629240249446835
DGCCA,Linear,100,30,5,Recall,1.0,0.0
DGCCA,Linear,100,30,5,F1-Score,0.12448087266376148,0.0028489255559307285
DGCCA,Linear,100,30,5,MCC,0.1687444342583975,0.004874807416183601
DGCCA,Linear,100,30,5,SR,0.0,0.0
DGCCA,Linear,100,30,5,Time,3.5122212982177734,0.042050759485175976
DGCCA,Linear,100,50,5,Specificity,0.43133333333333335,0.008647615253944111
DGCCA,Linear,100,50,5,Precision,0.03770757904295818,0.0006280331068790637
DGCCA,Linear,100,50,5,Recall,0.9966666666666667,0.006500584589096585
DGCCA,Linear,100,50,5,F1-Score,0.0726509067112146,0.0011719748475417366
DGCCA,Linear,100,50,5,MCC,0.1267191728699262,0.003070394321592407
DGCCA,Linear,100,50,5,SR,0.0,0.0
DGCCA,Linear,100,50,5,Time,3.5584009742736815,0.028112854310563318
DGCCA,Linear,100,100,5,Specificity,0.4953333333333333,0.007564946666588517
DGCCA,Linear,100,100,5,Precision,0.020422809894385937,0.000376422574622931
DGCCA,Linear,100,100,5,Recall,0.9933333333333333,0.00914666666666667
DGCCA,Linear,100,100,5,F1-Score,0.040017745348667484,0.0007258486764460936
DGCCA,Linear,100,100,5,MCC,0.09954356704464516,0.0024911031761366193
DGCCA,Linear,100,100,5,SR,0.0,0.0
DGCCA,Linear,100,100,5,Time,4.008507521152496,0.028846659918345625
DGCCA,Linear,100,200,5,Specificity,0.561008547008547,0.006678485929276651
DGCCA,Linear,100,200,5,Precision,0.011581979470938359,0.00020091917735969264
DGCCA,Linear,100,200,5,Recall,0.9966666666666666,0.006500584589096585
DGCCA,Linear,100,200,5,F1-Score,0.022896192573230036,0.00039313516605176454
DGCCA,Linear,100,200,5,MCC,0.0802532044391242,0.001503037130435807
DGCCA,Linear,100,200,5,SR,0.0,0.0
DGCCA,Linear,100,200,5,Time,4.956720707416534,0.026282446198742725
DGCCA,Nonlinear,100,30,5,Specificity,0.3782666666666667,0.00920735599253843
DGCCA,Nonlinear,100,30,5,Precision,0.05946929737260469,0.0013764536226081433
DGCCA,Nonlinear,100,30,5,Recall,0.9766666666666666,0.016669605074306152
DGCCA,Nonlinear,100,30,5,F1-Score,0.11208261820710294,0.002534898068538296
DGCCA,Nonlinear,100,30,5,MCC,0.14194823372049664,0.008027995419410208
DGCCA,Nonlinear,100,30,5,SR,0.0,0.0
DGCCA,Nonlinear,100,30,5,Time,3.4512387990951536,0.03386509588922094
DGCCA,Nonlinear,100,50,5,Specificity,0.44318518518518507,0.008611464389726528
DGCCA,Nonlinear,100,50,5,Precision,0.037645507315084585,0.0009303063350969993
DGCCA,Nonlinear,100,50,5,Recall,0.9733333333333333,0.01772448902256737
DGCCA,Nonlinear,100,50,5,F1-Score,0.07247277596190867,0.0017638799910571561
DGCCA,Nonlinear,100,50,5,MCC,0.12283396028829512,0.006135786368245486
DGCCA,Nonlinear,100,50,5,SR,0.0,0.0
DGCCA,Nonlinear,100,50,5,Time,3.6266057872772217,0.03430178975287973
DGCCA,Nonlinear,100,100,5,Specificity,0.5082105263157896,0.009251662557883813
DGCCA,Nonlinear,100,100,5,Precision,0.020749046589978778,0.0005287788168833637
DGCCA,Nonlinear,100,100,5,Recall,0.98,0.015515806993729545
DGCCA,Nonlinear,100,100,5,F1-Score,0.040630497332363555,0.001023249507785047
DGCCA,Nonlinear,100,100,5,MCC,0.09957198799659238,0.003949052735522541
DGCCA,Nonlinear,100,100,5,SR,0.0,0.0
DGCCA,Nonlinear,100,100,5,Time,4.024387109279632,0.028484684055173255
DGCCA,Nonlinear,100,200,5,Specificity,0.5723418803418802,0.008072010444961426
DGCCA,Nonlinear,100,200,5,Precision,0.011711899267930677,0.0003241901539775513
DGCCA,Nonlinear,100,200,5,Recall,0.9766666666666667,0.016669605074306152
DGCCA,Nonlinear,100,200,5,F1-Score,0.02314389529602293,0.0006366934574841948
DGCCA,Nonlinear,100,200,5,MCC,0.07938172219060462,0.003127609988275356
DGCCA,Nonlinear,100,200,5,SR,0.0,0.0
DGCCA,Nonlinear,100,200,5,Time,4.983130571842193,0.027126039829939278
DGCCA,Linear,100,100,5,Specificity,0.4953333333333333,0.007564946666588517
DGCCA,Linear,100,100,5,Precision,0.020422809894385937,0.000376422574622931
DGCCA,Linear,100,100,5,Recall,0.9933333333333333,0.00914666666666667
DGCCA,Linear,100,100,5,F1-Score,0.040017745348667484,0.0007258486764460936
DGCCA,Linear,100,100,5,MCC,0.09954356704464516,0.0024911031761366193
DGCCA,Linear,100,100,5,SR,0.0,0.0
DGCCA,Linear,100,100,5,Time,4.008507521152496,0.028846659918345625
DGCCA,Linear,200,100,5,Specificity,0.4808771929824562,0.007363656237185426
DGCCA,Linear,200,100,5,Precision,0.01998009668889489,0.00029396453396473643
DGCCA,Linear,200,100,5,Recall,1.0,0.0
DGCCA,Linear,200,100,5,F1-Score,0.039173190831479784,0.0005643407689698188
DGCCA,Linear,200,100,5,MCC,0.09801957741730699,0.0014701326155272725
DGCCA,Linear,200,100,5,SR,0.0,0.0
DGCCA,Linear,200,100,5,Time,4.614740190505981,0.02952322712182239
DGCCA,Linear,400,100,5,Specificity,0.5251228070175439,0.006325686816579414
DGCCA,Linear,400,100,5,Precision,0.02178019765250058,0.0002799923286768527
DGCCA,Linear,400,100,5,Recall,1.0,0.0
DGCCA,Linear,400,100,5,F1-Score,0.04262803900921561,0.0005363554244837511
DGCCA,Linear,400,100,5,MCC,0.10694445978036164,0.0013297646507552194
DGCCA,Linear,400,100,5,SR,0.0,0.0
DGCCA,Linear,400,100,5,Time,5.801559691429138,0.030662332579838324
DGCCA,Nonlinear,100,100,5,Specificity,0.5082105263157896,0.009251662557883813
DGCCA,Nonlinear,100,100,5,Precision,0.020749046589978778,0.0005287788168833637
DGCCA,Nonlinear,100,100,5,Recall,0.98,0.015515806993729545
DGCCA,Nonlinear,100,100,5,F1-Score,0.040630497332363555,0.001023249507785047
DGCCA,Nonlinear,100,100,5,MCC,0.09957198799659238,0.003949052735522541
DGCCA,Nonlinear,100,100,5,SR,0.0,0.0
DGCCA,Nonlinear,100,100,5,Time,4.024387109279632,0.028484684055173255
DGCCA,Nonlinear,200,100,5,Specificity,0.5276140350877193,0.010027812876273846
DGCCA,Nonlinear,200,100,5,Precision,0.02172845148967459,0.0005890304097743139
DGCCA,Nonlinear,200,100,5,Recall,0.9833333333333334,0.01423906988223287
DGCCA,Nonlinear,200,100,5,F1-Score,0.04250792962172225,0.001136978508132726
DGCCA,Nonlinear,200,100,5,MCC,0.10442259461084652,0.004127691014834752
DGCCA,Nonlinear,200,100,5,SR,0.0,0.0
DGCCA,Nonlinear,200,100,5,Time,4.742833640575409,0.027611459887811173
DGCCA,Nonlinear,400,100,5,Specificity,0.5161403508771929,0.010394576325653826
DGCCA,Nonlinear,400,100,5,Precision,0.020668568276855995,0.0007685463464535215
DGCCA,Nonlinear,400,100,5,Recall,0.9533333333333333,0.024480392153721723
DGCCA,Nonlinear,400,100,5,F1-Score,0.04045010903033905,0.0014902771202576093
DGCCA,Nonlinear,400,100,5,MCC,0.09590667589993558,0.006255951000128491
DGCCA,Nonlinear,400,100,5,SR,0.0,0.0
DGCCA,Nonlinear,400,100,5,Time,5.79095858335495,0.02798174676132635
DGCCA,Linear,100,100,5,Specificity,0.4953333333333333,0.007564946666588517
DGCCA,Linear,100,100,5,Precision,0.020422809894385937,0.000376422574622931
DGCCA,Linear,100,100,5,Recall,0.9933333333333333,0.00914666666666667
DGCCA,Linear,100,100,5,F1-Score,0.040017745348667484,0.0007258486764460936
DGCCA,Linear,100,100,5,MCC,0.09954356704464516,0.0024911031761366193
DGCCA,Linear,100,100,5,SR,0.0,0.0
DGCCA,Linear,100,100,5,Time,4.008507521152496,0.028846659918345625
DGCCA,Linear,100,100,10,Specificity,0.511111111111111,0.00818398985741567
DGCCA,Linear,100,100,10,Precision,0.02238309689710176,0.0003794916462332158
DGCCA,Linear,100,100,10,Recall,1.0,0.0
DGCCA,Linear,100,100,10,F1-Score,0.04377911674804483,0.0007252992869305706
DGCCA,Linear,100,100,10,MCC,0.1069579813799532,0.0017604802675789382
DGCCA,Linear,100,100,10,SR,0.0,0.0
DGCCA,Linear,100,100,10,Time,4.0473851037025455,0.030278107563634363
DGCCA,Linear,100,100,20,Specificity,0.5434166666666667,0.009502280772998075
DGCCA,Linear,100,100,20,Precision,0.026932875119669294,0.0005449365419708526
DGCCA,Linear,100,100,20,Recall,1.0,0.0
DGCCA,Linear,100,100,20,F1-Score,0.05243877186811782,0.0010328803690360217
DGCCA,Linear,100,100,20,MCC,0.12097380922671762,0.002276247329840183
DGCCA,Linear,100,100,20,SR,0.0,0.0
DGCCA,Linear,100,100,20,Time,4.076211926937103,0.0376950578137219
DGCCA,Nonlinear,100,100,5,Specificity,0.5082105263157896,0.009251662557883813
DGCCA,Nonlinear,100,100,5,Precision,0.020749046589978778,0.0005287788168833637
DGCCA,Nonlinear,100,100,5,Recall,0.98,0.015515806993729545
DGCCA,Nonlinear,100,100,5,F1-Score,0.040630497332363555,0.001023249507785047
DGCCA,Nonlinear,100,100,5,MCC,0.09957198799659238,0.003949052735522541
DGCCA,Nonlinear,100,100,5,SR,0.0,0.0
DGCCA,Nonlinear,100,100,5,Time,4.024387109279632,0.028484684055173255
DGCCA,Nonlinear,100,100,10,Specificity,0.4675555555555556,0.007514031171743395
DGCCA,Nonlinear,100,100,10,Precision,0.019888157537480043,0.0005080255443507156
DGCCA,Nonlinear,100,100,10,Recall,0.9666666666666667,0.0196
DGCCA,Nonlinear,100,100,10,F1-Score,0.038970618997122765,0.0009887216149941438
DGCCA,Nonlinear,100,100,10,MCC,0.09099947282954805,0.004562004955073412
DGCCA,Nonlinear,100,100,10,SR,0.0,0.0
DGCCA,Nonlinear,100,100,10,Time,4.0312184762954715,0.02862690455707173
DGCCA,Nonlinear,100,100,20,Specificity,0.42354166666666665,0.0069309696992716835
DGCCA,Nonlinear,100,100,20,Precision,0.01982730318028251,0.0007209640695919788
DGCCA,Nonlinear,100,100,20,Recall,0.9266666666666667,0.03005333333333334
DGCCA,Nonlinear,100,100,20,F1-Score,0.03882129201358144,0.001407250445172985
DGCCA,Nonlinear,100,100,20,MCC,0.07832702987203813,0.007455880825381281
DGCCA,Nonlinear,100,100,20,SR,0.0,0.0
DGCCA,Nonlinear,100,100,20,Time,4.030419089794159,0.02797990884061456
