Methods,Scenario,n,p,s,type,Values,std
KSSHIBA,Linear,100,30,5,Specificity,0.31999999999999995,1.0880185641326535e-17
KSSHIBA,Linear,100,30,5,Precision,0.03773584905660377,0.0
KSSHIBA,Linear,100,30,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,30,5,F1-Score,0.0714285714285714,5.440092820663267e-18
KSSHIBA,Linear,100,30,5,MCC,-0.005494422557947559,1.700029006457271e-19
KSSHIBA,Linear,100,30,5,SR,0.0,0.0
KSSHIBA,Linear,100,30,5,Time,3.3473,0.09850159549651974
KSSHIBA,Linear,100,50,5,Specificity,0.41140740740740733,0.0010945846096871914
KSSHIBA,Linear,100,50,5,Precision,0.02455403365947983,4.460979606060613e-05
KSSHIBA,Linear,100,50,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,50,5,F1-Score,0.04736347618341256,8.298841398399854e-05
KSSHIBA,Linear,100,50,5,MCC,0.023149981670835575,0.00031533096632899735
KSSHIBA,Linear,100,50,5,SR,0.0,0.0
KSSHIBA,Linear,100,50,5,Time,4.67058853469,0.1453782453106077
KSSHIBA,Linear,100,100,5,Specificity,0.33007017543859646,0.00020062081547927573
KSSHIBA,Linear,100,100,5,Precision,0.010366478017705197,3.0933138120395427e-06
KSSHIBA,Linear,100,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,100,5,F1-Score,0.020415500062039085,5.9979918735832445e-06
KSSHIBA,Linear,100,100,5,MCC,-0.0007047010984198045,4.3272001171546e-05
KSSHIBA,Linear,100,100,5,SR,0.0,0.0
KSSHIBA,Linear,100,100,5,Time,4.7101999999999995,0.15558967893584713
KSSHIBA,Linear,100,200,5,Specificity,0.36844444444444446,0.0005473002811795739
KSSHIBA,Linear,100,200,5,Precision,0.0053842638953388675,4.6395500271522505e-06
KSSHIBA,Linear,100,200,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,200,5,F1-Score,0.010682252040554254,9.131028466003586e-06
KSSHIBA,Linear,100,200,5,MCC,0.005185760554150348,7.925697364438947e-05
KSSHIBA,Linear,100,200,5,SR,0.0,0.0
KSSHIBA,Linear,100,200,5,Time,4.8220867837300005,0.1639201792639211
KSSHIBA,Nonlinear,100,30,5,Specificity,0.35239999999999994,0.0018201636849470425
KSSHIBA,Nonlinear,100,30,5,Precision,0.039556671899529036,0.00010720695836790073
KSSHIBA,Nonlinear,100,30,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,100,30,5,F1-Score,0.07468132705868555,0.00019101966050573765
KSSHIBA,Nonlinear,100,30,5,MCC,0.007659208060388111,0.0007238114136358098
KSSHIBA,Nonlinear,100,30,5,SR,0.0,0.0
KSSHIBA,Nonlinear,100,30,5,Time,3.3663283519100005,0.09797657930385581
KSSHIBA,Nonlinear,100,50,5,Specificity,0.32592592592592595,0.0
KSSHIBA,Nonlinear,100,50,5,Precision,0.021505376344086023,0.0
