Methods,Scenario,n,p,s,type,Values,std
RGCCA,Linear,100,30,5,Specificity,0.4777333333333333,0.012522503247088155
RGCCA,Linear,100,30,5,Precision,0.07212837724415125,0.0017201291981133638
RGCCA,Linear,100,30,5,Recall,1.0,0.0
RGCCA,Linear,100,30,5,F1-Score,0.1344275865099904,0.00297324231321003
RGCCA,Linear,100,30,5,MCC,0.18561743323506671,0.004636884527103811
RGCCA,Linear,100,30,5,SR,0.0,0.0
RGCCA,Linear,100,30,5,Time,0.015331768989562984,0.002429106424198833
RGCCA,Linear,100,50,5,Specificity,0.5114074074074074,0.009168349608025397
RGCCA,Linear,100,50,5,Precision,0.04387599758478607,0.0008022494519016223
RGCCA,Linear,100,50,5,Recall,1.0,0.0
RGCCA,Linear,100,50,5,F1-Score,0.08403420857081514,0.0014701872867747617
RGCCA,Linear,100,50,5,MCC,0.14979296357847263,0.002707820643917772
RGCCA,Linear,100,50,5,SR,0.0,0.0
RGCCA,Linear,100,50,5,Time,0.013465361595153814,0.003224346328686104
RGCCA,Linear,100,100,5,Specificity,0.5679649122807018,0.00544615937041559
RGCCA,Linear,100,100,5,Precision,0.023879810008879083,0.0002969550822608217
RGCCA,Linear,100,100,5,Recall,1.0,0.0
RGCCA,Linear,100,100,5,F1-Score,0.0466414537221291,0.000566268915609218
RGCCA,Linear,100,100,5,MCC,0.11645662236229436,0.001281002808367975
RGCCA,Linear,100,100,5,SR,0.0,0.0
RGCCA,Linear,100,100,5,Time,0.023291802406311034,0.001018901624209576
RGCCA,Linear,100,200,5,Specificity,0.6493333333333332,0.004354271894996235
RGCCA,Linear,100,200,5,Precision,0.014469138578760412,0.00017552789684590803
RGCCA,Linear,100,200,5,Recall,1.0,0.0
RGCCA,Linear,100,200,5,F1-Score,0.028524000830632303,0.00034111639392623774
RGCCA,Linear,100,200,5,MCC,0.09691992570439611,0.0009122355184534645
RGCCA,Linear,100,200,5,SR,0.0,0.0
RGCCA,Linear,100,200,5,Time,0.05601085186004639,0.006349756245987284
RGCCA,Nonlinear,100,30,5,Specificity,0.5353333333333333,0.008979947240626998
RGCCA,Nonlinear,100,30,5,Precision,0.07848567720638075,0.0019520231144887032
RGCCA,Nonlinear,100,30,5,Recall,0.98,0.015515806993729545
RGCCA,Nonlinear,100,30,5,F1-Score,0.14524085709603313,0.003446523229976738
RGCCA,Nonlinear,100,30,5,MCC,0.1991668831432126,0.007280780597435399
RGCCA,Nonlinear,100,30,5,SR,0.0,0.0
RGCCA,Nonlinear,100,30,5,Time,0.007017321586608886,0.0007686624059813464
RGCCA,Nonlinear,100,50,5,Specificity,0.5579259259259259,0.007082537506879238
RGCCA,Nonlinear,100,50,5,Precision,0.046763503972643686,0.0011425139092635175
RGCCA,Nonlinear,100,50,5,Recall,0.97,0.018697208347772137
RGCCA,Nonlinear,100,50,5,F1-Score,0.08920071090748506,0.002139120835855678
RGCCA,Nonlinear,100,50,5,MCC,0.15511411267460143,0.005963472519139982
RGCCA,Nonlinear,100,50,5,SR,0.0,0.0
RGCCA,Nonlinear,100,50,5,Time,0.016030650138854984,0.004939189594455854
RGCCA,Nonlinear,100,100,5,Specificity,0.6076842105263157,0.005151651051386126
RGCCA,Nonlinear,100,100,5,Precision,0.025459074366283477,0.0005728364205745117
RGCCA,Nonlinear,100,100,5,Recall,0.9700000000000002,0.018697208347772134
RGCCA,Nonlinear,100,100,5,F1-Score,0.0496105136810678,0.00110759096201552
RGCCA,Nonlinear,100,100,5,MCC,0.12003875754895828,0.004027499105858075
RGCCA,Nonlinear,100,100,5,SR,0.0,0.0
RGCCA,Nonlinear,100,100,5,Time,0.027954483032226564,0.004710491458245461
RGCCA,Nonlinear,100,200,5,Specificity,0.6806324786324786,0.003098033119911419
RGCCA,Nonlinear,100,200,5,Precision,0.014910125312525658,0.00042991335731177015
RGCCA,Nonlinear,100,200,5,Recall,0.94,0.02510024701073677
RGCCA,Nonlinear,100,200,5,F1-Score,0.02935349692606436,0.0008445775090759455
RGCCA,Nonlinear,100,200,5,MCC,0.09471534284434996,0.003943320454482541
RGCCA,Nonlinear,100,200,5,SR,0.0,0.0
RGCCA,Nonlinear,100,200,5,Time,0.05643315315246582,0.0064674822057551136
RGCCA,Linear,100,100,5,Specificity,0.5679649122807018,0.00544615937041559
RGCCA,Linear,100,100,5,Precision,0.023879810008879083,0.0002969550822608217
RGCCA,Linear,100,100,5,Recall,1.0,0.0
RGCCA,Linear,100,100,5,F1-Score,0.0466414537221291,0.000566268915609218
RGCCA,Linear,100,100,5,MCC,0.11645662236229436,0.001281002808367975
RGCCA,Linear,100,100,5,SR,0.0,0.0
RGCCA,Linear,100,100,5,Time,0.023291802406311034,0.001018901624209576
RGCCA,Linear,200,100,5,Specificity,0.6658245614035088,0.005452638305669945
RGCCA,Linear,200,100,5,Precision,0.030737285483032464,0.0004880686323472975
RGCCA,Linear,200,100,5,Recall,1.0,0.0
RGCCA,Linear,200,100,5,F1-Score,0.05963003948974666,0.0009182327783276696
RGCCA,Linear,200,100,5,MCC,0.14303052389368737,0.0017175383013133183
RGCCA,Linear,200,100,5,SR,0.0,0.0
RGCCA,Linear,200,100,5,Time,0.0470514440536499,0.0068526023431941105
RGCCA,Linear,400,100,5,Specificity,0.7638947368421053,0.005121819196276601
RGCCA,Linear,400,100,5,Precision,0.04320061095565971,0.0009742233605591213
RGCCA,Linear,400,100,5,Recall,1.0,0.0
RGCCA,Linear,400,100,5,F1-Score,0.0827799066941396,0.0017813126900464472
RGCCA,Linear,400,100,5,MCC,0.18152071405177903,0.002624269534008511
RGCCA,Linear,400,100,5,SR,0.0,0.0
RGCCA,Linear,400,100,5,Time,0.07512664318084716,0.009855720185198194
RGCCA,Nonlinear,100,100,5,Specificity,0.6076842105263157,0.005151651051386126
RGCCA,Nonlinear,100,100,5,Precision,0.025459074366283477,0.0005728364205745117
RGCCA,Nonlinear,100,100,5,Recall,0.9700000000000002,0.018697208347772134
RGCCA,Nonlinear,100,100,5,F1-Score,0.0496105136810678,0.00110759096201552
RGCCA,Nonlinear,100,100,5,MCC,0.12003875754895828,0.004027499105858075
RGCCA,Nonlinear,100,100,5,SR,0.0,0.0
RGCCA,Nonlinear,100,100,5,Time,0.027954483032226564,0.004710491458245461
RGCCA,Nonlinear,200,100,5,Specificity,0.7035789473684209,0.004839003320682967
RGCCA,Nonlinear,200,100,5,Precision,0.03377319036039732,0.0008353894223986031
RGCCA,Nonlinear,200,100,5,Recall,0.9766666666666667,0.016669605074306152
RGCCA,Nonlinear,200,100,5,F1-Score,0.06527397877355327,0.0015868194486864677
RGCCA,Nonlinear,200,100,5,MCC,0.15073008258023132,0.004293094174590276
RGCCA,Nonlinear,200,100,5,SR,0.0,0.0
RGCCA,Nonlinear,200,100,5,Time,0.0,0.0
RGCCA,Nonlinear,400,100,5,Specificity,0.777543859649123,0.004285986728944626
RGCCA,Nonlinear,400,100,5,Precision,0.04533397577564071,0.0010070869031067935
RGCCA,Nonlinear,400,100,5,Recall,0.9933333333333334,0.009146666666666666
RGCCA,Nonlinear,400,100,5,F1-Score,0.08667471388666494,0.0018522316870830471
RGCCA,Nonlinear,400,100,5,MCC,0.18663531847075457,0.0033564063628246307
RGCCA,Nonlinear,400,100,5,SR,0.0,0.0
RGCCA,Nonlinear,400,100,5,Time,0.0,0.0
RGCCA,Linear,100,100,5,Specificity,0.5679649122807018,0.00544615937041559
RGCCA,Linear,100,100,5,Precision,0.023879810008879083,0.0002969550822608217
RGCCA,Linear,100,100,5,Recall,1.0,0.0
RGCCA,Linear,100,100,5,F1-Score,0.0466414537221291,0.000566268915609218
RGCCA,Linear,100,100,5,MCC,0.11645662236229436,0.001281002808367975
RGCCA,Linear,100,100,5,SR,0.0,0.0
RGCCA,Linear,100,100,5,Time,0.023291802406311034,0.001018901624209576
RGCCA,Linear,100,100,10,Specificity,0.6671481481481482,0.007501772748515536
RGCCA,Linear,100,100,10,Precision,0.03271564444101293,0.0007349549393090098
RGCCA,Linear,100,100,10,Recall,1.0,0.0
RGCCA,Linear,100,100,10,F1-Score,0.0633329958964845,0.0013754066509355709
RGCCA,Linear,100,100,10,MCC,0.14767698769450732,0.002475719718537144
RGCCA,Linear,100,100,10,SR,0.0,0.0
RGCCA,Linear,100,100,10,Time,0.025868999958038333,0.0027450821597881933
RGCCA,Linear,100,100,20,Specificity,0.7723333333333333,0.007972875377037933
RGCCA,Linear,100,100,20,Precision,0.05371542728734319,0.001997520608747377
RGCCA,Linear,100,100,20,Recall,1.0,0.0
RGCCA,Linear,100,100,20,F1-Score,0.10177892749520687,0.0035551188285324483
RGCCA,Linear,100,100,20,MCC,0.20324245446758288,0.004717760431147611
RGCCA,Linear,100,100,20,SR,0.0,0.0
RGCCA,Linear,100,100,20,Time,0.026312952041625978,0.004974328132946751
RGCCA,Nonlinear,100,100,5,Specificity,0.6076842105263157,0.005151651051386126
RGCCA,Nonlinear,100,100,5,Precision,0.025459074366283477,0.0005728364205745117
RGCCA,Nonlinear,100,100,5,Recall,0.9700000000000002,0.018697208347772134
RGCCA,Nonlinear,100,100,5,F1-Score,0.0496105136810678,0.00110759096201552
RGCCA,Nonlinear,100,100,5,MCC,0.12003875754895828,0.004027499105858075
RGCCA,Nonlinear,100,100,5,SR,0.0,0.0
RGCCA,Nonlinear,100,100,5,Time,0.027954483032226564,0.004710491458245461
RGCCA,Nonlinear,100,100,10,Specificity,0.7124814814814815,0.005093553807737604
RGCCA,Nonlinear,100,100,10,Precision,0.03569008889724094,0.001089935047833873
RGCCA,Nonlinear,100,100,10,Recall,0.9500000000000002,0.023328666199906648
RGCCA,Nonlinear,100,100,10,F1-Score,0.06877514119839866,0.0020713982499164377
RGCCA,Nonlinear,100,100,10,MCC,0.1520236693172171,0.0057353861672178865
RGCCA,Nonlinear,100,100,10,SR,0.0,0.0
RGCCA,Nonlinear,100,100,10,Time,0.033232891559600825,0.006810607872545505
RGCCA,Nonlinear,100,100,20,Specificity,0.7826666666666665,0.0053349277408414825
RGCCA,Nonlinear,100,100,20,Precision,0.0522614803729055,0.0021158533341229056
RGCCA,Nonlinear,100,100,20,Recall,0.94,0.02510024701073677
RGCCA,Nonlinear,100,100,20,F1-Score,0.09892868460786033,0.0038832371494464035
RGCCA,Nonlinear,100,100,20,MCC,0.19230322412175038,0.007922296355403327
RGCCA,Nonlinear,100,100,20,SR,0.0,0.0
RGCCA,Nonlinear,100,100,20,Time,0.027626850605010977,0.0050611688255920865
