Methods,Scenario,n,p,s,type,Values,std
SGCCA,Linear,100,30,5,Specificity,0.9070666666666665,0.003080076928332222
SGCCA,Linear,100,30,5,Precision,0.305241674991675,0.007325497559049208
SGCCA,Linear,100,30,5,Recall,1.0,0.0
SGCCA,Linear,100,30,5,F1-Score,0.4664832079685021,0.00845185642001097
SGCCA,Linear,100,30,5,MCC,0.5254830958115274,0.007117952600492048
SGCCA,Linear,100,30,5,SR,0.0,0.0
SGCCA,Linear,100,30,5,Time,0.019421086311340333,0.0022904910957712637
SGCCA,Linear,100,50,5,Specificity,0.9933333333333332,0.0008589271388796493
SGCCA,Linear,100,50,5,Precision,0.7879999999999998,0.024680439542277204
SGCCA,Linear,100,50,5,Recall,1.0,0.0
SGCCA,Linear,100,50,5,F1-Score,0.8760714285714286,0.014962817248098703
SGCCA,Linear,100,50,5,MCC,0.8821485176570577,0.014001153623390595
SGCCA,Linear,100,50,5,SR,0.23,0.08248317161700318
SGCCA,Linear,100,50,5,Time,0.013773062229156492,0.0016877381848869433
SGCCA,Linear,100,100,5,Specificity,0.8484561403508772,0.019461045414125355
SGCCA,Linear,100,100,5,Precision,0.25085629793770514,0.07225310772319371
SGCCA,Linear,100,100,5,Recall,1.0,0.0
SGCCA,Linear,100,100,5,F1-Score,0.297437777658568,0.06925934851686011
SGCCA,Linear,100,100,5,MCC,0.38007148759315074,0.06151910142691907
SGCCA,Linear,100,100,5,SR,0.19,0.07689097736405746
SGCCA,Linear,100,100,5,Time,0.025557472705841064,0.0011179368638542257
SGCCA,Linear,100,200,5,Specificity,1.0,0.0
SGCCA,Linear,100,200,5,Precision,1.0,0.0
SGCCA,Linear,100,200,5,Recall,1.0,0.0
SGCCA,Linear,100,200,5,F1-Score,1.0,0.0
SGCCA,Linear,100,200,5,MCC,1.0,0.0
SGCCA,Linear,100,200,5,SR,1.0,0.0
SGCCA,Linear,100,200,5,Time,0.04752177476882934,0.006887548979955992
SGCCA,Nonlinear,100,30,5,Specificity,0.7252000000000001,0.006923064785675968
SGCCA,Nonlinear,100,30,5,Precision,0.12459440014614794,0.004267270521006379
SGCCA,Nonlinear,100,30,5,Recall,0.96,0.021230820364115315
SGCCA,Nonlinear,100,30,5,F1-Score,0.220320000778214,0.007152285506906571
SGCCA,Nonlinear,100,30,5,MCC,0.28931532836727064,0.011628273042125515
SGCCA,Nonlinear,100,30,5,SR,0.0,0.0
SGCCA,Nonlinear,100,30,5,Time,-0.011241140365600586,0.0021060949580223418
SGCCA,Nonlinear,100,50,5,Specificity,0.8670370370370369,0.004357369992441404
SGCCA,Nonlinear,100,50,5,Precision,0.13002864762777944,0.007408750527723717
SGCCA,Nonlinear,100,50,5,Recall,0.86,0.032245822468448024
SGCCA,Nonlinear,100,50,5,F1-Score,0.2254763443324636,0.01220767414455329
SGCCA,Nonlinear,100,50,5,MCC,0.30270301766927366,0.017150009838409825
SGCCA,Nonlinear,100,50,5,SR,0.0,0.0
SGCCA,Nonlinear,100,50,5,Time,-0.015288786888122559,0.0016662411279093096
SGCCA,Nonlinear,100,100,5,Specificity,0.7109824561403509,0.003875290617841462
SGCCA,Nonlinear,100,100,5,Precision,0.03365875798001947,0.0008591874430262851
SGCCA,Nonlinear,100,100,5,Recall,0.9533333333333335,0.022669819388586032
SGCCA,Nonlinear,100,100,5,F1-Score,0.06501267113871056,0.001649251187614076
SGCCA,Nonlinear,100,100,5,MCC,0.14797968903140307,0.005098873023557222
SGCCA,Nonlinear,100,100,5,SR,0.0,0.0
SGCCA,Nonlinear,100,100,5,Time,-0.027315917015075675,0.004532712489026384
SGCCA,Nonlinear,100,200,5,Specificity,0.7650769230769231,0.00282878269698989
SGCCA,Nonlinear,100,200,5,Precision,0.020138578178621015,0.0006321393939129936
SGCCA,Nonlinear,100,200,5,Recall,0.9366666666666665,0.025630325788019166
