Methods,Scenario,n,p,s,type,Values,std
SNGCCA,Linear,100,30,5,Specificity,1.0,0.0
SNGCCA,Linear,100,30,5,Precision,1.0,0.0
SNGCCA,Linear,100,30,5,Recall,1.0,0.0
SNGCCA,Linear,100,30,5,F1-Score,1.0,0.0
SNGCCA,Linear,100,30,5,MCC,1.0,0.0
SNGCCA,Linear,100,30,5,SR,1.0,0.0
SNGCCA,Linear,100,30,5,Time,0.25256343603000003,0.0014468484941190889
SNGCCA,Linear,100,50,5,Specificity,1.0,0.0
SNGCCA,Linear,100,50,5,Precision,1.0,0.0
SNGCCA,Linear,100,50,5,Recall,1.0,0.0
SNGCCA,Linear,100,50,5,F1-Score,1.0,0.0
SNGCCA,Linear,100,50,5,MCC,1.0,0.0
SNGCCA,Linear,100,50,5,SR,1.0,0.0
SNGCCA,Linear,100,50,5,Time,0.636290831565857,0.0021136786354735925
SNGCCA,Linear,100,100,5,Specificity,1.0,0.0
SNGCCA,Linear,100,100,5,Precision,1.0,0.0
SNGCCA,Linear,100,100,5,Recall,1.0,0.0
SNGCCA,Linear,100,100,5,F1-Score,1.0,0.0
SNGCCA,Linear,100,100,5,MCC,1.0,0.0
SNGCCA,Linear,100,100,5,SR,1.0,0.0
SNGCCA,Linear,100,100,5,Time,1.8987,0.004362089976146748
SNGCCA,Linear,100,200,5,Specificity,1.0,0.0
SNGCCA,Linear,100,200,5,Precision,1.0,0.0
SNGCCA,Linear,100,200,5,Recall,1.0,0.0
SNGCCA,Linear,100,200,5,F1-Score,1.0,0.0
SNGCCA,Linear,100,200,5,MCC,1.0,0.0
SNGCCA,Linear,100,200,5,SR,1.0,0.0
SNGCCA,Linear,100,200,5,Time,5.307000000000001,0.13698969882440068
SNGCCA,Nonlinear,100,30,5,Specificity,0.9964,0.001160214049216779
SNGCCA,Nonlinear,100,30,5,Precision,0.9100000000000001,0.029005351230419536
SNGCCA,Nonlinear,100,30,5,Recall,0.9100000000000001,0.029005351230419536
SNGCCA,Nonlinear,100,30,5,F1-Score,0.9100000000000001,0.029005351230419536
SNGCCA,Nonlinear,100,30,5,MCC,0.9063999999999999,0.030165565279636312
SNGCCA,Nonlinear,100,30,5,SR,0.73,0.0870160536912586
SNGCCA,Nonlinear,100,30,5,Time,0.25291293144226074,0.0014274262619350243
SNGCCA,Nonlinear,100,50,5,Specificity,0.9974074074074073,0.0007222871765662881
SNGCCA,Nonlinear,100,50,5,Precision,0.8833333333333333,0.032502922945482925
SNGCCA,Nonlinear,100,50,5,Recall,0.8833333333333333,0.032502922945482925
SNGCCA,Nonlinear,100,50,5,F1-Score,0.8833333333333333,0.032502922945482925
SNGCCA,Nonlinear,100,50,5,MCC,0.8807407407407407,0.03322521012204921
SNGCCA,Nonlinear,100,50,5,SR,0.66,0.09284691917344377
SNGCCA,Nonlinear,100,50,5,Time,0.50620682804,0.0032439011434585575
SNGCCA,Nonlinear,100,100,5,Specificity,0.9995438596491226,0.00025089975607039527
SNGCCA,Nonlinear,100,100,5,Precision,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,Recall,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,F1-Score,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,MCC,0.9562105263157893,0.02408637658275787
SNGCCA,Nonlinear,100,100,5,SR,0.88,0.06369246109234593
SNGCCA,Nonlinear,100,100,5,Time,1.7638867896300001,0.009226399693318591
SNGCCA,Nonlinear,100,200,5,Specificity,0.9990085470085469,0.0007204275838501816
