,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,30,Specificity,0.9998666666666667,0.0013266499161421576
1,RGCCA,Linear,30,Recall,0.9993333333333334,0.006633249580710798
2,RGCCA,Linear,30,MCC,0.9992,0.007959899496852954
3,SGCCA,Linear,30,Specificity,0.9981333333333333,0.009047037575299934
4,SGCCA,Linear,30,Recall,0.9906666666666666,0.04523518787649967
5,SGCCA,Linear,30,MCC,0.9887999999999999,0.05428222545179959
6,DGCCA,Linear,30,Specificity,0.8277333333333334,0.016937007475413775
7,DGCCA,Linear,30,Recall,0.13866666666666663,0.0846850373770689
8,DGCCA,Linear,30,MCC,-0.033600000000000005,0.10162204485248268
9,KSSHIBA,Linear,30,Specificity,0.7999999999999998,2.220446049250313e-16
10,KSSHIBA,Linear,30,Recall,0.0,0.0
11,KSSHIBA,Linear,30,MCC,-0.19999999999999996,5.551115123125783e-17
12,SNGCCA,Linear,30,Specificity,0.9931999999999997,0.010240659700971948
13,SNGCCA,Linear,30,Recall,0.9660000000000001,0.05120329850485979
14,SNGCCA,Linear,30,MCC,0.9592,0.06144395820583175
15,RGCCA,Nonlinear,30,Specificity,0.8373333333333332,0.01977652929892177
16,RGCCA,Nonlinear,30,Recall,0.18666666666666665,0.09888264649460884
17,RGCCA,Nonlinear,30,MCC,0.023999999999999994,0.11865917579353062
18,SGCCA,Nonlinear,30,Specificity,0.8354666666666667,0.017407022848392104
19,SGCCA,Nonlinear,30,Recall,0.17733333333333332,0.08703511424196048
20,SGCCA,Nonlinear,30,MCC,0.012800000000000002,0.10444213709035258
21,DGCCA,Nonlinear,30,Specificity,0.7999999999999998,2.220446049250313e-16
22,DGCCA,Nonlinear,30,Recall,0.0,0.0
23,DGCCA,Nonlinear,30,MCC,-0.19999999999999996,5.551115123125783e-17
24,KSSHIBA,Nonlinear,30,Specificity,0.7999999999999998,2.220446049250313e-16
25,KSSHIBA,Nonlinear,30,Recall,0.0,0.0
26,KSSHIBA,Nonlinear,30,MCC,-0.19999999999999996,5.551115123125783e-17
27,SNGCCA,Nonlinear,30,Specificity,0.9950666666666667,0.014067140592332343
28,SNGCCA,Nonlinear,30,Recall,0.9753333333333335,0.07033570296166174
29,SNGCCA,Nonlinear,30,MCC,0.9703999999999999,0.08440284355399409
30,RGCCA,Linear,100,Specificity,0.9998245614035087,0.0011504278112810563
31,RGCCA,Linear,100,Recall,0.9966666666666667,0.021858128414339994
32,RGCCA,Linear,100,MCC,0.9964912280701753,0.023008556225621053
33,SGCCA,Linear,100,Specificity,0.9958245614035087,0.005585343349003213
34,SGCCA,Linear,100,Recall,0.9206666666666666,0.10612152363106074
35,SGCCA,Linear,100,MCC,0.9164912280701754,0.1117068669800639
36,DGCCA,Linear,100,Specificity,0.9477192982456143,0.0010526315789473719
37,DGCCA,Linear,100,Recall,0.006666666666666667,0.02
38,DGCCA,Linear,100,MCC,-0.04561403508771929,0.02105263157894737
39,KSSHIBA,Linear,100,Specificity,0.9473684210526316,1.1102230246251565e-16
40,KSSHIBA,Linear,100,Recall,0.0,0.0
41,KSSHIBA,Linear,100,MCC,-0.052631578947368404,1.3877787807814457e-17
42,SNGCCA,Linear,100,Specificity,0.9982105263157893,0.002828644754656477
43,SNGCCA,Linear,100,Recall,0.9660000000000001,0.053744250338472896
44,SNGCCA,Linear,100,MCC,0.9642105263157893,0.05657289509312936
45,RGCCA,Nonlinear,100,Specificity,0.9502105263157895,0.0031654879470235987
46,RGCCA,Nonlinear,100,Recall,0.05399999999999999,0.060144270993448185
47,RGCCA,Nonlinear,100,MCC,0.004210526315789474,0.06330975894047176
48,SGCCA,Nonlinear,100,Specificity,0.9499999999999998,0.0027348170645824462
49,SGCCA,Nonlinear,100,Recall,0.05,0.05196152422706632
50,SGCCA,Nonlinear,100,MCC,0.0,0.05469634129164874
51,DGCCA,Nonlinear,100,Specificity,0.9473684210526316,1.1102230246251565e-16
52,DGCCA,Nonlinear,100,Recall,0.0,0.0
53,DGCCA,Nonlinear,100,MCC,-0.052631578947368404,1.3877787807814457e-17
54,KSSHIBA,Nonlinear,100,Specificity,0.9473684210526316,1.1102230246251565e-16
55,KSSHIBA,Nonlinear,100,Recall,0.0,0.0
56,KSSHIBA,Nonlinear,100,MCC,-0.052631578947368404,1.3877787807814457e-17
57,SNGCCA,Nonlinear,100,Specificity,0.9979999999999998,0.004361475490224762
58,SNGCCA,Nonlinear,100,Recall,0.9620000000000002,0.08286803431427049
59,SNGCCA,Nonlinear,100,MCC,0.96,0.08722950980449524
