,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,100,Specificity,1.0,0.0
1,RGCCA,Linear,100,Precision,1.0,0.0
2,RGCCA,Linear,100,Recall,0.11141941697005324,0.007062182445268209
3,RGCCA,Linear,100,FS,0.20042672854153573,0.011424404553156072
4,RGCCA,Linear,100,MCC,0.2538446939003285,0.014659100990936437
5,SGCCA,Linear,100,Specificity,0.9999397590361445,0.0005993900223533819
6,SGCCA,Linear,100,Precision,0.9993333333333334,0.006633249580710799
7,SGCCA,Linear,100,Recall,0.102887772666197,0.006560340106514902
8,SGCCA,Linear,100,FS,0.18650194249325647,0.01079467118348927
9,SGCCA,Linear,100,MCC,0.23533385582809338,0.014840005503919392
10,DGCCA,Linear,100,Specificity,0.937292700903035,0.021253284691198256
11,DGCCA,Linear,100,Precision,0.5366666666666666,0.1564537560360178
12,DGCCA,Linear,100,Recall,0.04255733693994835,0.012222381870972547
13,DGCCA,Linear,100,FS,0.07885075536953445,0.022646879097722155
14,DGCCA,Linear,100,MCC,-0.04455861458036072,0.07347589454014031
15,KSSHIBA,Linear,100,Specificity,0.9488321832183221,0.002757453742892773
16,KSSHIBA,Linear,100,Precision,0.6620000000000001,0.019447936194419757
17,KSSHIBA,Linear,100,Recall,0.04941817920448011,0.0013891920184532578
18,KSSHIBA,Linear,100,FS,0.09197074710006684,0.0025935256412928506
19,KSSHIBA,Linear,100,MCC,-0.0037820640295738194,0.008980143194016129
20,SNGCCA,Linear,100,Specificity,0.9997467215662215,0.0018752115357270893
21,SNGCCA,Linear,100,Precision,0.9953333333333333,0.03432524176494933
22,SNGCCA,Linear,100,Recall,0.9528249120160885,0.07844982430149988
23,SNGCCA,Linear,100,FS,0.9725894368547792,0.05768706865664388
24,SNGCCA,Linear,100,MCC,0.971812998410862,0.059306438372293234
25,RGCCA,Nonlinear,100,Specificity,0.949693246517976,0.01682520616823418
26,RGCCA,Nonlinear,100,Precision,0.6266666666666667,0.1282358937444756
27,RGCCA,Nonlinear,100,Recall,0.04974574257136388,0.009868759634635347
28,RGCCA,Nonlinear,100,FS,0.09216507794454701,0.018304500164768783
29,RGCCA,Nonlinear,100,MCC,-0.0012940432320122973,0.05902369566214955
30,SGCCA,Nonlinear,100,Specificity,0.9522657695202651,0.014132271605220976
31,SGCCA,Nonlinear,100,Precision,0.6406666666666666,0.10827742146911329
32,SGCCA,Nonlinear,100,Recall,0.05139697258664484,0.008560258858339248
33,SGCCA,Nonlinear,100,FS,0.095149847141134,0.01583596014759963
34,SGCCA,Nonlinear,100,MCC,0.008158845654704925,0.05035237003317829
35,DGCCA,Nonlinear,100,Specificity,0.9071112958315269,0.01553623952986864
36,DGCCA,Nonlinear,100,Precision,0.3033333333333333,0.11090536506409418
37,DGCCA,Nonlinear,100,Recall,0.024334401850181125,0.0088844539248426
38,DGCCA,Nonlinear,100,FS,0.04504883528745687,0.016439240165034476
39,DGCCA,Nonlinear,100,MCC,-0.15203613886939582,0.053357354170703836
40,KSSHIBA,Nonlinear,100,Specificity,0.9095761776959417,0.006369435907770365
41,KSSHIBA,Nonlinear,100,Precision,0.2646666666666666,0.0561387170814898
42,KSSHIBA,Nonlinear,100,Recall,0.022275248316006743,0.004629673251579776
43,KSSHIBA,Nonlinear,100,FS,0.04109143337587807,0.008552838554062586
44,KSSHIBA,Nonlinear,100,MCC,-0.1535783096159186,0.024749497497410386
45,SNGCCA,Nonlinear,100,Specificity,0.9912649535354217,0.006830122248574399
46,SNGCCA,Nonlinear,100,Precision,0.8319999999999999,0.13215479139588127
47,SNGCCA,Nonlinear,100,Recall,0.9828691308691309,0.07503594524924721
48,SNGCCA,Nonlinear,100,FS,0.8967726325481948,0.10050804331302887
49,SNGCCA,Nonlinear,100,MCC,0.8978172998082153,0.09979302781588612
50,RGCCA,Linear,200,Specificity,1.0,0.0
51,RGCCA,Linear,200,Precision,1.0,0.0
52,RGCCA,Linear,200,Recall,0.15838385867010807,0.011310283512366858
53,RGCCA,Linear,200,FS,0.2732922056668927,0.0168385306004753
54,RGCCA,Linear,200,MCC,0.33730980281631257,0.01761729855410996
55,SGCCA,Linear,200,Specificity,1.0,0.0
56,SGCCA,Linear,200,Precision,1.0,0.0
57,SGCCA,Linear,200,Recall,0.13177359016102433,0.009213746961175247
58,SGCCA,Linear,200,FS,0.23274536266532164,0.014341013470673706
59,SGCCA,Linear,200,MCC,0.2929294792837427,0.016425087334605157
60,DGCCA,Linear,200,Specificity,0.9426380332393145,0.016923916831009363
61,DGCCA,Linear,200,Precision,0.5653333333333332,0.12840214605337058
62,DGCCA,Linear,200,Recall,0.04553416114584984,0.010171397073554116
63,DGCCA,Linear,200,FS,0.08427080537354187,0.018824349447716562
64,DGCCA,Linear,200,MCC,-0.026285031598714335,0.06004200634831113
