Name,Score
cg12847373,2.950165915993108e-06
cg12854483,2.9516131842926056e-06
cg12858460,2.9569775039499805e-06
cg12864235,2.9580605907238414e-06
cg12874092,2.96011089926721e-06
cg12875426,2.963811942148812e-06
cg12876594,2.9677328137435174e-06
cg12880658,2.9701652968679973e-06
cg12884406,2.9714505642435204e-06
cg12902039,2.975008339961326e-06
cg12914657,2.9768637196582475e-06
cg12927153,2.978562890385584e-06
cg12949975,2.980386421493894e-06
cg12955583,2.9815952485981417e-06
cg12970081,2.987483781060121e-06
cg12990410,2.9884825861197107e-06
cg12992720,2.992604775131176e-06
cg12995941,2.995165008216106e-06
cg12998491,2.997179295675473e-06
cg13002939,3.0001185184773136e-06
cg13035743,3.0009778521919773e-06
cg13042487,3.004647846125589e-06
cg13047892,3.007348930916645e-06
cg13055001,3.009874452320348e-06
cg13055278,3.0131223788858885e-06
cg13060997,3.014482195836253e-06
cg13066963,3.016657959063964e-06
cg13097407,3.0177585533157286e-06
cg13102585,3.0230485139045992e-06
cg13121699,3.025537441977497e-06
cg13139843,3.0280419005035187e-06
cg13140267,3.029101987124917e-06
cg13152535,3.030404647363896e-06
cg13158571,3.0337979119747738e-06
cg13170032,3.036089249527385e-06
cg13191049,3.0379506728763544e-06
cg13191808,3.039247189569076e-06
cg13206017,3.042632136991662e-06
cg13216057,3.048251066794856e-06
cg13262687,3.049819995673674e-06
cg13264741,3.051755153036846e-06
cg13266631,3.052823946134478e-06
cg13274713,3.0577794174370016e-06
cg13277716,3.060093021697903e-06
cg13297865,3.0615801190001724e-06
cg13297960,3.0641320999852718e-06
cg13311440,3.066509098494442e-06
cg13315147,3.0680178425956537e-06
cg13320626,3.0702011313003835e-06
cg13340269,3.074349037834642e-06
cg13343486,3.076502813408008e-06
cg13346411,3.078545465834325e-06
cg13351583,3.082063709389584e-06
cg13365022,3.082968113214322e-06
cg13372488,3.0845572480487997e-06
cg13378388,3.086760770815649e-06
cg13379236,3.0922896270148906e-06
cg13398291,3.093028586284984e-06
cg13401339,3.0947183789370515e-06
cg13410437,3.0972979990399724e-06
cg13435381,3.1016206621862103e-06
cg13438834,3.103200527375501e-06
cg13447818,3.106431913465722e-06
cg13460409,3.1091167335123817e-06
cg13471990,3.1118911529142894e-06
cg13488201,3.1140163526073584e-06
cg13492340,3.117525271213716e-06
cg13494498,3.1179405303335147e-06
cg13496838,3.1207433821866874e-06
cg13523557,3.122333957105823e-06
cg13526007,3.125860776693448e-06
cg13547644,3.1266896010524508e-06
cg13548361,3.1286507749861803e-06
cg13549845,3.131124880185268e-06
cg13589108,3.1366116156748964e-06
cg13591701,3.138527467728047e-06
cg13599477,3.139958261790053e-06
cg13614181,3.1436014283926823e-06
cg13619915,3.145866040126712e-06
cg13633026,3.147350110296577e-06
cg13633560,3.15054970458839e-06
cg13636404,3.152278656486581e-06
cg13643585,3.154563644478132e-06
cg13645078,3.1562658654312e-06
cg13652336,3.1575960907476574e-06
cg13663218,3.1614515714018624e-06
cg13666729,3.162123586908976e-06
cg13686115,3.166892325408612e-06
cg13694867,3.1685715193655305e-06
cg13700897,3.170609262812142e-06
cg13701109,3.174068924479889e-06
cg13707560,3.1769899738079464e-06
cg13735974,3.181169258203915e-06
cg13745870,3.1830232121208244e-06
cg13749822,3.1839954768134884e-06
cg13755070,3.1856868375375265e-06
cg13756879,3.18795610020133e-06
cg13759328,3.189522872550778e-06
cg13765303,3.1938222217881725e-06
cg13791131,3.1940172930685578e-06
cg13799206,3.195905874707892e-06
cg13801381,3.2015533263774293e-06
cg13801416,3.205867695966739e-06
cg13806135,3.2067188502711515e-06
cg13807496,3.209145343804356e-06
cg13814950,3.21216296217661e-06
cg13818573,3.213097609208856e-06
cg13823136,3.2141386819470124e-06
cg13830624,3.217751740033658e-06
cg13877915,3.218452764405547e-06
cg13878010,3.220379589316435e-06
cg13885201,3.2219759957916112e-06
cg13904493,3.2240551404947537e-06
cg13904968,3.229069502709541e-06
cg13905388,3.232277963745562e-06
cg13912117,3.233216798180212e-06
cg13921352,3.235517266879781e-06
cg13929328,3.237294843905792e-06
cg13958426,3.238369694341085e-06
cg13959523,3.243896223768932e-06
cg13968061,3.2457084174042508e-06
cg13969584,3.246111003612167e-06
cg13975369,3.2488497724084243e-06
cg13975625,3.2502041477781824e-06
cg13986130,3.251686768613024e-06
cg13991233,3.2535671945770025e-06
cg13997435,3.2566250056580182e-06
cg14001035,3.259818914959389e-06
cg14009688,3.262569435711309e-06
cg14015044,3.264750163304312e-06
cg14019317,3.268166581853376e-06
cg14021073,3.2713502630521656e-06
cg14023451,3.273644611172861e-06
cg14037413,3.274160025755752e-06
cg14046986,3.275350307105806e-06
cg14063008,3.2805381303373578e-06
cg14070647,3.2817758421601577e-06
cg14074117,3.285774966865406e-06
cg14100184,3.287475235913597e-06
cg14105781,3.289513078539942e-06
cg14116122,3.291394836943075e-06
cg14119236,3.2931719166987614e-06
cg14120784,3.297660621023405e-06
cg14133708,3.2992025605197984e-06
cg14144305,3.3014305143537614e-06
cg14153740,3.3016754755995767e-06
cg14155416,3.3041767282739727e-06
cg14167596,3.3073660681550206e-06
cg14171882,3.308131673953012e-06
cg14174099,3.3107208776140563e-06
cg14188232,3.3130236127589326e-06
cg14201417,3.315123605857346e-06
cg14221171,3.317200846676269e-06
cg14223995,3.320308913613557e-06
cg14249872,3.320890082071381e-06
cg14254380,3.3257817174993e-06
cg14258236,3.3266833710778844e-06
cg14262937,3.32965399119819e-06
cg14289461,3.33529269731924e-06
cg14289511,3.3363519273341678e-06
cg14289985,3.338278787231788e-06
cg14294758,3.340705574360704e-06
cg14310034,3.342577443930524e-06
cg14313310,3.345916004029284e-06
cg14323109,3.348381493937693e-06
cg14324200,3.349522476986901e-06
cg14324838,3.352531156770677e-06
cg14331163,3.354982351081112e-06
cg14370448,3.356194889585597e-06
cg14377593,3.3584913622624027e-06
cg14380517,3.3619463342890226e-06
cg14384532,3.3622288298378973e-06
cg14385738,3.366548488220752e-06
cg14387505,3.367640744902477e-06
cg14391855,3.3702065023162703e-06
cg14399060,3.373689498215674e-06
cg14407437,3.3747400676269948e-06
cg14409083,3.3768426720313764e-06
cg14409941,3.378900754279892e-06
cg14409958,3.3800274112394984e-06
cg14415034,3.381350769973132e-06
cg14419187,3.3845598088142245e-06
cg14435807,3.387029498351634e-06
cg14446712,3.3908888569636218e-06
cg14449051,3.3914021609394104e-06
cg14450605,3.395364652815329e-06
cg14451276,3.3967250952119006e-06
cg14458834,3.399411130047601e-06
cg14498423,3.400297472568905e-06
cg14539231,3.402795618292472e-06
cg14541950,3.4046757558190423e-06
cg14542839,3.406836415947098e-06
cg14546153,3.4079133100740982e-06
cg14550518,3.4106815583901155e-06
cg14563260,3.4123998094197283e-06
cg14566624,3.4142715221020204e-06
cg14576824,3.41699458154201e-06
cg14580567,3.418882875782129e-06
cg14580982,3.4237674384228024e-06
cg14586939,3.425502107685228e-06
cg14601284,3.4263603017854048e-06
cg14611174,3.4270371515915955e-06
cg14614211,3.42986771706026e-06
cg14614901,3.4303219277034257e-06
cg14652095,3.4329840255070428e-06
cg14654926,3.4359302738986626e-06
cg14659404,3.438253877379564e-06
cg14667273,3.4418152232257145e-06
cg14672994,3.4446174817855407e-06
cg14679202,3.447502093106684e-06
cg14681055,3.451420524782693e-06
cg14696396,3.453223457635304e-06
cg14700577,3.454555255394915e-06
cg14717170,3.4559837584902468e-06
cg14721213,3.4583539020919624e-06
cg14724613,3.4594759953711723e-06
cg14743462,3.464160296003497e-06
cg14754581,3.469383042875928e-06
cg14759043,3.469949504854981e-06
cg14764661,3.47178221121e-06
cg14776962,3.4731226882606117e-06
cg14785479,3.479546281246746e-06
cg14795968,3.4817185761382947e-06
cg14823162,3.48375558454212e-06
cg14826456,3.484108384147316e-06
cg14826683,3.485638220161993e-06
cg14831838,3.489002988872473e-06
cg14837082,3.491001082332492e-06
cg14844130,3.4940014495583226e-06
cg14847688,3.497489823240087e-06
cg14859460,3.49844739957334e-06
cg14874121,3.5003056867097165e-06
cg14882700,3.5038351079244045e-06
cg14884741,3.506499046334352e-06
cg14892768,3.5066011083913426e-06
cg14894144,3.508241981529679e-06
cg14902389,3.509640682264436e-06
cg14911395,3.512756515840413e-06
cg14913925,3.5153268875382783e-06
cg14916079,3.5162140298495853e-06
cg14916288,3.51709162456266e-06
cg14917512,3.520013076368649e-06
cg14920334,3.5216393813981037e-06
cg14925024,3.525569109979024e-06
cg14950072,3.5272582276691195e-06
cg14958635,3.5291418249137096e-06
cg14974772,3.531991348013509e-06
cg14982472,3.5363324901595927e-06
cg14986136,3.53756794349154e-06
cg14988503,3.539005444297343e-06
cg14991487,3.540590149936051e-06
cg14998713,3.5427525621448327e-06
cg15002204,3.5448953796654147e-06
cg15013019,3.5491240255441994e-06
cg15020645,3.549812699717556e-06
cg15037004,3.551094665505186e-06
cg15042080,3.5553410273478806e-06
cg15043057,3.556762780038098e-06
cg15046693,3.5607662517134037e-06
cg15057581,3.5628320322044133e-06
cg15068733,3.56554540913024e-06
cg15075170,3.5666830302941844e-06
cg15077070,3.5695450571825874e-06
cg15087147,3.5706222230140163e-06
cg15089387,3.574361501892732e-06
cg15105660,3.576014450480662e-06
cg15105703,3.5770937513818657e-06
cg15107670,3.580321625889243e-06
cg15146752,3.5816703099739614e-06
cg15147516,3.5865951996145315e-06
cg15149645,3.587989370541344e-06
cg15149938,3.588854751095391e-06
cg15156078,3.5915137351348686e-06
cg15158783,3.593177927872707e-06
cg15170424,3.593892559889284e-06
cg15183083,3.594452566774955e-06
cg15195412,3.597691255132401e-06
cg15202954,3.6004345643946626e-06
cg15227982,3.6025376465773006e-06
cg15236866,3.607180432287838e-06
cg15238224,3.608982469276467e-06
cg15239123,3.611691945096038e-06
cg15239579,3.612723238151076e-06
cg15250797,3.614943605356365e-06
cg15261665,3.6169505021683458e-06
cg15271616,3.618443728243851e-06
cg15279364,3.619759526117049e-06
cg15298323,3.62428538318992e-06
cg15309006,3.625234454888242e-06
cg15312298,3.629746950366222e-06
cg15320474,3.630726961156285e-06
cg15337897,3.633898585475186e-06
cg15343119,3.635719189744957e-06
cg15361231,3.63772145911646e-06
cg15361590,3.641624803429981e-06
cg15361750,3.643691880268765e-06
cg15364537,3.644887665193127e-06
cg15364618,3.647025698952996e-06
cg15377518,3.647732207907741e-06
cg15379633,3.6520408675487753e-06
cg15383120,3.6561244940579215e-06
cg15396367,3.656916636352739e-06
cg15398520,3.6590905266422657e-06
cg15425811,3.6613934202999416e-06
cg15435730,3.66464027431848e-06
cg15439862,3.665526138316809e-06
cg15452573,3.668241191108121e-06
cg15457899,3.6701045617221754e-06
cg15468095,3.672125608454823e-06
cg15475323,3.674294435592389e-06
cg15488251,3.67661581304832e-06
cg15520279,3.678566250821329e-06
cg15523238,3.680503230241567e-06
cg15526708,3.680682822456776e-06
cg15534366,3.684267706711771e-06
cg15536490,3.685337131709984e-06
